unique(Item_Code),item_name,energy_kJ,vita_rae_mcg,thia_mcg,ribo_mcg,nia_mcg,b6_mcg,fol_mcg,vb12_mcg,iron_mg,zinc_mg
283,"cooked snacks purchased [samosa, puri, paratha, burger, chowmein, idli, dosa, vada, chops, pakora, pao, bhaji, etc.]",,,,,,,,,,
284,other served processed food,,,,,,,,,,
289,served pocessed food : sub-total (280-284),,,,,,,,,,
290,"prepared sweets, cake, pastry (kg)",,,,,,,,,,
291,"biscuits, chocolates etc.",,,,,,,,,,
292,"papad, bhujia, namkeen,mixture, chanachur",,,,,,,,,,
293,chips(gm),,,,,,,,,,
294,pickles (gm),,,,,,,,,,
295,"sauce,jam,jelly(gm)",,,,,,,,,,
296,other packaged processed food,,,,,,,,,,
299,packaged processed food : s.t.(290-296),,,,,,,,,,
300,pan : leaf (no),,,,,,,,,,
301,pan : finished (no),,,,,,,,,,
302,ingredients for pan (gm),,,,,,,,,,
309,pan : s.t.(300-302),,,,,,,,,,
310,bidi(no.),,,,,,,,,,
311,cigarettes (no),,,,,,,,,,
312,leaf tobacco(gm),,,,,,,,,,
313,snuff (gm),,,,,,,,,,
314,hooka tobacco(gm),,,,,,,,,,
315,cheroot (no.),,,,,,,,,,
316,"zarda,kimam,surti(gm)",,,,,,,,,,
317,"	other tobacco products (gm)",,,,,,,,,,
319,tobacco : s.t. (310-317),,,,,,,,,,
320,ganja (gm),,,,,,,,,,
321,toddy (litre),,,,,,,,,,
322,country liquor (litre),,,,,,,,,,
323,beer (litre),,,,,,,,,,
324,foreign/ refined liquor or wine (litre),,,,,,,,,,
325,other intoxicants,,,,,,,,,,
329,intoxicants : s.t.(320-325),,,,,,,,,,
330,Coke (Kg),,,,,,,,,,
331,firewood & Chips(Kg),,,,,,,,,,
332,electricity (std. unit),,,,,,,,,,
333,dung cake(Kg),,,,,,,,,,
334,kerosene-PDS (ltr),,,,,,,,,,
335,kerosene-other sources(litre),,,,,,,,,,
336,matches (box),,,,,,,,,,
337,coal(Kg),,,,,,,,,,
338,LPG[excl. conveyance],,,,,,,,,,
340,charcoal(Kg),,,,,,,,,,
341,Candle (no.),,,,,,,,,,
342,gobar gas(Kg),,,,,,,,,,
343,petrol (litre)[excl. conveyance],,,,,,,,,,
344,diesel (litre) [excl. conveyance],,,,,,,,,,
345,other fuel,,,,,,,,,,
349,fuel and light : s.t. (330-345),,,,,,,,,,
