SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_7,adm2_9,adm2_5,adm2_4,adm2_6,adm2_1,adm2_8,adm2_2,adm2_3,adm2_10
4882,9507,2,50,9,4,0,NA,1074,0,7,1,0,0,0,0,0,0,0,0,0
4902,6870,2,48,9,2,1,NA,1437,0,10,0,0,0,0,0,0,0,0,0,1
4920,4488,2,40,4,3,1,NA,2358,0,5,0,0,1,0,0,0,0,0,0,0
4935,643,2,45,8,1,1,NA,1207,1,6,0,0,0,0,1,0,0,0,0,0
4965,6800,2,21,9,2,1,NA,1794,0,10,0,0,0,0,0,0,0,0,0,1
4997,8175,2,45,12,2,1,NA,1045,0,7,1,0,0,0,0,0,0,0,0,0
5108,223,2,25,15,3,1,NA,1526,0,9,0,1,0,0,0,0,0,0,0,0
5129,9516,2,65,4,3,0,NA,1812,0,5,0,0,1,0,0,0,0,0,0,0
5140,416,2,25,27,5,1,NA,2120,0,3,0,0,0,0,0,0,0,0,1,0
5143,2428,2,55,21,5,0,NA,1639,0,5,0,0,1,0,0,0,0,0,0,0
5145,11024,2,40,30,2,1,NA,1324,0,2,0,0,0,0,0,0,0,1,0,0
5162,9872,2,53,29,5,0,NA,1466,0,5,0,0,1,0,0,0,0,0,0,0
5169,5183,2,20,12,5,1,NA,1312,0,10,0,0,0,0,0,0,0,0,0,1
5175,3919,2,47,5,2,1,NA,1278,0,1,0,0,0,0,0,1,0,0,0,0
5179,7680,2,58,16,7,0,NA,1531,1,3,0,0,0,0,0,0,0,0,1,0
5187,4007,2,20,21,5,1,NA,1795,0,5,0,0,1,0,0,0,0,0,0,0
5227,1318,2,46,8,5,1,NA,192,0,7,1,0,0,0,0,0,0,0,0,0
5243,797,2,21,27,4,1,NA,880,0,5,0,0,1,0,0,0,0,0,0,0
5246,11178,2,22,25,6,1,NA,256,0,1,0,0,0,0,0,1,0,0,0,0
5257,4158,2,80,2,1,0,NA,1171,1,5,0,0,1,0,0,0,0,0,0,0
5288,995,2,27,24,7,1,NA,1085,1,6,0,0,0,0,1,0,0,0,0,0
5291,5915,2,50,19,5,0,NA,1434,0,2,0,0,0,0,0,0,0,1,0,0
5306,9693,2,30,20,3,1,NA,1209,0,4,0,0,0,1,0,0,0,0,0,0
5314,6897,2,48,28,6,1,NA,2188,0,3,0,0,0,0,0,0,0,0,1,0
5335,9529,2,50,9,6,0,NA,2353,0,7,1,0,0,0,0,0,0,0,0,0
5340,4943,2,23,3,3,1,NA,1175,0,5,0,0,1,0,0,0,0,0,0,0
5345,11364,2,26,4,4,1,NA,1274,0,5,0,0,1,0,0,0,0,0,0,0
5361,4849,2,45,13,4,1,NA,1226,0,3,0,0,0,0,0,0,0,0,1,0
5373,6209,2,26,29,3,1,NA,1913,0,1,0,0,0,0,0,1,0,0,0,0
5390,5646,2,50,2,5,0,NA,1758,0,6,0,0,0,0,1,0,0,0,0,0
5406,6893,2,30,8,4,1,NA,845,0,7,1,0,0,0,0,0,0,0,0,0
5410,6273,2,50,26,7,0,NA,1844,1,1,0,0,0,0,0,1,0,0,0,0
5427,7114,2,31,16,4,1,NA,1216,0,9,0,1,0,0,0,0,0,0,0,0
5437,11210,2,45,2,5,1,NA,992,0,6,0,0,0,0,1,0,0,0,0,0
5466,754,2,65,15,3,0,NA,618,0,9,0,1,0,0,0,0,0,0,0,0
5469,2481,2,50,2,5,0,NA,1883,0,6,0,0,0,0,1,0,0,0,0,0
5473,3225,2,67,19,5,0,NA,1458,0,2,0,0,0,0,0,0,0,1,0,0
5505,5280,2,36,16,7,1,NA,1742,1,3,0,0,0,0,0,0,0,0,1,0
5534,589,2,39,15,3,1,NA,2005,0,9,0,1,0,0,0,0,0,0,0,0
5581,6189,2,32,18,2,1,NA,1614,0,3,0,0,0,0,0,0,0,0,1,0
5600,416,2,60,27,5,0,NA,1015,0,3,0,0,0,0,0,0,0,0,1,0
5604,4399,2,60,26,6,0,NA,1658,0,1,0,0,0,0,0,1,0,0,0,0
5614,10632,2,49,17,2,1,NA,1294,0,10,0,0,0,0,0,0,0,0,0,1
5686,2838,2,38,19,7,1,NA,2150,1,4,0,0,0,1,0,0,0,0,0,0
5737,541,2,18,5,5,1,NA,1040,0,5,0,0,1,0,0,0,0,0,0,0
