SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_8,adm2_9,adm2_2,adm2_1,adm2_6,adm2_3,adm2_7,adm2_4,adm2_5
1223,9219,2,56,6,7,118,13.940000000000001,10.28,0,4,0,0,0,0,0,0,0,1,0
1227,7472,1,30,4,140,88,10.86,7.1099999999999985,0,3,0,0,0,0,0,1,0,0,0
1242,10323,2,35,18,180,186,18.88,10.37,0,8,1,0,0,0,0,0,0,0,0
1267,8980,1,28,31,63,207,30.78,17.470000000000002,0,7,0,0,0,0,0,0,1,0,0
1279,2568,1,25,12,2,86,8.969999999999999,6.45,0,8,1,0,0,0,0,0,0,0,0
1280,4018,2,38,22,3,103,7.69,5.31,0,2,0,0,1,0,0,0,0,0,0
1286,11694,2,30,14,15,244,19.05,14.01,0,6,0,0,0,0,1,0,0,0,0
1317,7329,2,47,12,8,139,10.13,7.309999999999998,0,9,0,1,0,0,0,0,0,0,0
1321,5245,1,44,19,21,168,20.930000000000003,14.630000000000003,0,9,0,1,0,0,0,0,0,0,0
1336,1271,2,60,18,0,50,5.87,4.25,0,5,0,0,0,0,0,0,0,0,1
1339,3329,2,42,1,6,124,11.35,8.15,1,1,0,0,0,1,0,0,0,0,0
1340,8472,2,26,8,2,141,12.049999999999999,9.03,0,1,0,0,0,1,0,0,0,0,0
1393,80,1,19,10,5,46,2.42,2.3200000000000003,0,8,1,0,0,0,0,0,0,0,0
1459,6973,2,30,30,25,149,10.020000000000001,7.829999999999999,0,1,0,0,0,1,0,0,0,0,0
1469,3185,2,39,20,43,198,18.47,12.469999999999999,0,8,1,0,0,0,0,0,0,0,0
1481,8895,1,36,10,6,136,16.72,11.599999999999998,0,8,1,0,0,0,0,0,0,0,0
1490,4505,1,22,18,60,277,23.97,16.919999999999998,0,1,0,0,0,1,0,0,0,0,0
1524,2205,2,23,12,135,100,6.839999999999999,4.949999999999999,0,8,1,0,0,0,0,0,0,0,0
1535,9615,1,18,14,78,134,11.870000000000001,7.359999999999999,0,8,1,0,0,0,0,0,0,0,0
1564,4562,2,36,31,110,136,13.699999999999998,8.779999999999998,0,7,0,0,0,0,0,0,1,0,0
1599,8241,1,25,22,456,207,12.899999999999999,9.35,0,4,0,0,0,0,0,0,0,1,0
1615,1795,1,30,22,639,597,57.370000000000005,20.86,0,7,0,0,0,0,0,0,1,0,0
1621,1747,1,50,27,2,169,18.35,13.549999999999997,0,3,0,0,0,0,0,1,0,0,0
1638,1888,2,19,7,57,110,7.61,5.45,1,8,1,0,0,0,0,0,0,0,0
1650,10577,2,18,10,1119,409,19.31,9.599999999999998,0,4,0,0,0,0,0,0,0,1,0
1653,11073,1,60,18,12,272,32.11,22.669999999999998,0,6,0,0,0,0,1,0,0,0,0
1684,7574,1,49,21,4,161,15.96,10.84,0,6,0,0,0,0,1,0,0,0,0
1722,9824,2,31,26,1826,374,30.059999999999995,16.72,0,4,0,0,0,0,0,0,0,1,0
1728,5952,2,37,22,25,205,17.009999999999998,13.11,0,8,1,0,0,0,0,0,0,0,0
1749,8912,1,60,20,8,57,9.559999999999999,5.14,0,9,0,1,0,0,0,0,0,0,0
1761,1396,2,38,10,1291,438,18.9,8.699999999999998,0,4,0,0,0,0,0,0,0,1,0
1762,9091,2,30,27,19,106,7.370000000000001,4.889999999999999,0,6,0,0,0,0,1,0,0,0,0
1791,8776,2,25,17,1878,144,69.11,6.49,0,6,0,0,0,0,1,0,0,0,0
1838,1705,2,36,4,56,215,9.850000000000001,7.88,0,5,0,0,0,0,0,0,0,0,1
1845,8829,2,40,7,6,51,4.88,3.3999999999999995,1,9,0,1,0,0,0,0,0,0,0
1850,8822,1,30,16,358,120,10.32,7.949999999999999,0,8,1,0,0,0,0,0,0,0,0
1887,7845,1,40,25,668,580,21.28,10.959999999999999,0,5,0,0,0,0,0,0,0,0,1
1932,679,2,32,25,301,365,42.480000000000004,28.330000000000002,0,7,0,0,0,0,0,0,1,0,0
1972,9480,1,20,29,42,78,7.58,4.4799999999999995,0,7,0,0,0,0,0,0,1,0,0
1986,5245,2,21,19,26,135,15.12,10.729999999999999,0,9,0,1,0,0,0,0,0,0,0
1991,4933,2,26,30,16,158,12.95,10.59,0,1,0,0,0,1,0,0,0,0,0
2015,1551,1,34,30,128,143,11.339999999999998,7.969999999999998,0,1,0,0,0,1,0,0,0,0,0
2020,10606,2,67,5,26,185,15.99,12.879999999999997,0,5,0,0,0,0,0,0,0,0,1
2021,7455,2,70,9,5,92,7.14,4.829999999999999,0,2,0,0,1,0,0,0,0,0,0
2024,4184,1,45,18,5,122,10.979999999999999,7.129999999999998,0,5,0,0,0,0,0,0,0,0,1
2026,1882,1,55,28,10,93,9.249999999999998,6.229999999999999,0,4,0,0,0,0,0,0,0,1,0
2043,2744,2,50,13,9,184,15.78,12.04,0,2,0,0,1,0,0,0,0,0,0
2052,5514,2,32,28,24,318,27.220000000000002,21.049999999999997,0,2,0,0,1,0,0,0,0,0,0
2053,9159,1,45,25,30,134,14.450000000000001,10.33,0,1,0,0,0,1,0,0,0,0,0
2082,8419,1,40,19,11,96,7.3,4.3999999999999995,0,3,0,0,0,0,0,1,0,0,0
2086,6329,1,60,9,2,116,47.79,9.989999999999998,0,7,0,0,0,0,0,0,1,0,0
2088,9091,1,32,27,20,161,15.16,10.41,0,6,0,0,0,0,1,0,0,0,0
2129,10829,1,20,13,23,231,16.779999999999998,9.549999999999999,0,8,1,0,0,0,0,0,0,0,0
2161,2883,2,38,8,309,232,11.5,6.55,0,1,0,0,0,1,0,0,0,0,0
2171,10394,1,58,7,553,357,19.46,12.73,1,8,1,0,0,0,0,0,0,0,0
2179,265,2,45,12,19,118,12.45,9.279999999999998,0,8,1,0,0,0,0,0,0,0,0
2181,10606,2,30,5,25,114,6.409999999999999,5.6899999999999995,0,5,0,0,0,0,0,0,0,0,1
2195,3385,1,18,10,11,150,10.469999999999999,7.809999999999999,0,4,0,0,0,0,0,0,0,1,0
2211,10235,2,45,13,52,197,18.5,13.43,0,2,0,0,1,0,0,0,0,0,0
2218,5391,2,30,27,390,415,25.99,16.8,0,2,0,0,1,0,0,0,0,0,0
2229,10732,2,48,22,19,174,24.5,16.320000000000004,0,7,0,0,0,0,0,0,1,0,0
2239,6148,1,45,3,48,94,11,8.959999999999997,0,8,1,0,0,0,0,0,0,0,0
2262,1580,2,60,23,14,125,10.85,7.5,0,5,0,0,0,0,0,0,0,0,1
2298,1705,1,38,4,42,218,11.68,9.360000000000001,0,5,0,0,0,0,0,0,0,0,1
2336,830,2,60,8,17,118,10.11,7.119999999999999,0,8,1,0,0,0,0,0,0,0,0
2351,8616,2,32,8,80,188,13.55,9.569999999999999,0,9,0,1,0,0,0,0,0,0,0
2407,11739,2,48,24,9,235,20.69,14.299999999999999,0,9,0,1,0,0,0,0,0,0,0
2426,11857,2,25,3,10,166,15.76,11.19,0,1,0,0,0,1,0,0,0,0,0
2445,4606,2,20,10,7,171,13.35,9.7,0,8,1,0,0,0,0,0,0,0,0
2446,80,1,50,10,5,822,6.91,4.999999999999999,0,8,1,0,0,0,0,0,0,0,0
2449,11549,1,38,18,11,139,13.900000000000002,9.770000000000001,0,5,0,0,0,0,0,0,0,0,1
2458,5775,2,19,14,255,294,18.949999999999996,11.5,0,6,0,0,0,0,1,0,0,0,0
2459,4719,2,19,21,73,168,18.06,12.55,0,6,0,0,0,0,1,0,0,0,0
2478,1337,2,20,3,269,244,15.15,11.4,0,8,1,0,0,0,0,0,0,0,0
2486,9249,2,40,10,27,291,20.299999999999997,12.589999999999998,0,2,0,0,1,0,0,0,0,0,0
2496,2646,1,60,23,13,113,11.82,9.030000000000001,0,4,0,0,0,0,0,0,0,1,0
2521,2285,1,43,10,235,283,15.35,10.13,0,2,0,0,1,0,0,0,0,0,0
2540,7846,2,32,14,95,208,11.799999999999999,8.86,0,9,0,1,0,0,0,0,0,0,0
2544,7724,1,56,1,23,235,17.040000000000003,10.679999999999998,1,1,0,0,0,1,0,0,0,0,0
2546,5514,2,75,28,13,141,10.270000000000001,7.619999999999999,0,2,0,0,1,0,0,0,0,0,0
2579,10666,2,35,4,6,140,9.09,8.699999999999998,0,3,0,0,0,0,0,1,0,0,0
2623,4550,1,18,29,122,54,2.67,1.71,0,6,0,0,0,0,1,0,0,0,0
2638,4612,2,32,20,4,142,16.58,11.23,0,4,0,0,0,0,0,0,0,1,0
2642,10599,2,38,25,20,143,10.91,8.389999999999997,0,6,0,0,0,0,1,0,0,0,0
2670,9205,2,58,25,842,300,51.78,25.990000000000002,0,7,0,0,0,0,0,0,1,0,0
2683,8424,1,50,19,95,241,19.86,14.409999999999998,0,3,0,0,0,0,0,1,0,0,0
2687,5645,2,32,22,95,141,15.960000000000003,10.520000000000001,0,4,0,0,0,0,0,0,0,1,0
2698,1888,1,24,7,58,153,13.679999999999998,9.629999999999997,1,8,1,0,0,0,0,0,0,0,0
2700,9255,2,23,14,18,102,10.549999999999999,7.799999999999999,0,2,0,0,1,0,0,0,0,0,0
2701,7942,2,43,3,20,130,11.07,7.8100000000000005,0,8,1,0,0,0,0,0,0,0,0
2750,9380,2,23,29,25,150,15.83,10.72,0,7,0,0,0,0,0,0,1,0,0
2751,2467,2,28,22,285,278,17.009999999999998,12.719999999999997,0,2,0,0,1,0,0,0,0,0,0
2759,1775,2,57,5,47,132,12.25,7.2,0,9,0,1,0,0,0,0,0,0,0
2798,8306,2,28,22,10,156,10.549999999999999,7.670000000000001,0,2,0,0,1,0,0,0,0,0,0
2814,5624,2,30,7,41,136,11.7,7.979999999999999,1,7,0,0,0,0,0,0,1,0,0
2817,11048,1,23,8,14,144,13.299999999999999,9.35,0,8,1,0,0,0,0,0,0,0,0
2838,1360,2,18,18,37,120,8.789999999999997,7.31,0,9,0,1,0,0,0,0,0,0,0
2853,4445,2,40,6,16,147,15.149999999999995,10.649999999999997,0,4,0,0,0,0,0,0,0,1,0
2881,2856,1,35,25,8,118,8.67,6.969999999999999,0,6,0,0,0,0,1,0,0,0,0
2883,1157,1,72,21,48,165,17.349999999999998,11.289999999999997,0,8,1,0,0,0,0,0,0,0,0
2885,6397,1,60,18,17,215,16.95,12.57,0,5,0,0,0,0,0,0,0,0,1
2910,8880,2,36,4,97,219,12.02,8.4,0,3,0,0,0,0,0,1,0,0,0
2920,10838,2,26,22,9,191,19.18,13.02,0,4,0,0,0,0,0,0,0,1,0
2929,6933,1,42,4,4,161,14.99,10.33,0,8,1,0,0,0,0,0,0,0,0
2932,11700,2,56,10,121,192,12.76,8.45,0,8,1,0,0,0,0,0,0,0,0
2947,6931,1,45,5,5,167,19.26,13.379999999999999,0,9,0,1,0,0,0,0,0,0,0
2949,7218,2,22,8,9,164,12.379999999999999,9.28,0,8,1,0,0,0,0,0,0,0,0
2962,9887,2,35,28,11,144,14.22,9.95,0,1,0,0,0,1,0,0,0,0,0
2967,1147,1,26,27,23,178,14.08,8.739999999999998,0,1,0,0,0,1,0,0,0,0,0
2974,1448,2,48,13,16,132,11.749999999999998,8.809999999999999,0,2,0,0,1,0,0,0,0,0,0
3027,11038,2,60,2,206,239,16.130000000000003,11,0,4,0,0,0,0,0,0,0,1,0
3031,7523,2,25,24,28,130,9.940000000000001,6.05,0,2,0,0,1,0,0,0,0,0,0
3035,7367,1,40,3,48,167,15.55,10.379999999999999,0,7,0,0,0,0,0,0,1,0,0
3043,11733,1,23,8,7,151,14.06,8.249999999999998,0,4,0,0,0,0,0,0,0,1,0
3062,3288,2,60,8,59,194,9.64,6.080000000000001,0,8,1,0,0,0,0,0,0,0,0
3079,3584,2,49,18,22,110,10.679999999999998,6.719999999999999,0,6,0,0,0,0,1,0,0,0,0
3091,684,1,22,22,20,125,8.79,5.32,0,6,0,0,0,0,1,0,0,0,0
3113,9116,2,19,29,36,217,11.39,11.16,0,6,0,0,0,0,1,0,0,0,0
3114,757,2,52,2,5,180,16.48,11.44,0,4,0,0,0,0,0,0,0,1,0
3136,8895,2,33,10,6,102,11.51,8.39,0,8,1,0,0,0,0,0,0,0,0
3151,6230,2,50,27,28,231,26.580000000000002,18.439999999999998,0,7,0,0,0,0,0,0,1,0,0
3153,3807,1,38,30,14,151,11.26,9.219999999999999,0,1,0,0,0,1,0,0,0,0,0
3161,6348,2,20,19,29,76,6.330000000000001,5.8999999999999995,0,9,0,1,0,0,0,0,0,0,0
3176,4958,2,25,18,43,100,9.37,6.600000000000001,0,9,0,1,0,0,0,0,0,0,0
3196,5357,1,18,31,85,209,17.94,10.8,0,7,0,0,0,0,0,0,1,0,0
3202,11803,1,20,6,31,143,17.159999999999997,10.869999999999997,0,4,0,0,0,0,0,0,0,1,0
3284,6667,2,28,1,34,114,13.399999999999999,8.999999999999996,1,7,0,0,0,0,0,0,1,0,0
3293,9607,2,30,5,130,171,15.190000000000003,9.36,0,8,1,0,0,0,0,0,0,0,0
3298,5978,2,32,12,2,87,10.69,7.37,0,8,1,0,0,0,0,0,0,0,0
3306,6615,2,36,24,364,228,16.88,10.679999999999998,0,5,0,0,0,0,0,0,0,0,1
3309,2514,2,22,17,151,166,9.85,8.17,0,6,0,0,0,0,1,0,0,0,0
3322,7127,2,67,7,10,66,3,3.2099999999999995,1,9,0,1,0,0,0,0,0,0,0
3327,10370,2,20,19,59,104,12.2,7.969999999999999,0,3,0,0,0,0,0,1,0,0,0
3336,10595,2,36,22,18,102,13.07,7.619999999999999,0,8,1,0,0,0,0,0,0,0,0
3346,10571,2,55,18,60,120,11.99,8.209999999999999,0,6,0,0,0,0,1,0,0,0,0
3354,7557,2,36,5,4,58,5.319999999999999,4.88,0,8,1,0,0,0,0,0,0,0,0
3358,774,2,24,6,209,242,12.329999999999998,7.569999999999999,0,1,0,0,0,1,0,0,0,0,0
3390,10119,1,35,14,94,322,25.26,16.779999999999998,0,8,1,0,0,0,0,0,0,0,0
3403,3259,2,35,6,7,94,8.049999999999999,6.15,0,5,0,0,0,0,0,0,0,0,1
3429,6378,1,25,6,128,90,4.12,2.1199999999999997,0,7,0,0,0,0,0,0,1,0,0
3437,9157,2,35,5,3,126,11.719999999999999,9.019999999999998,0,9,0,1,0,0,0,0,0,0,0
3535,9292,2,60,17,104,176,15.28,11.009999999999998,0,6,0,0,0,0,1,0,0,0,0
3549,10065,1,28,18,7,196,18.31,13.709999999999999,0,5,0,0,0,0,0,0,0,0,1
3553,7026,2,60,25,20,1283,12.57,8.16,0,4,0,0,0,0,0,0,0,1,0
3560,2898,1,18,24,10,166,15.11,9.99,0,2,0,0,1,0,0,0,0,0,0
3571,5446,1,27,30,1,126,14.420000000000002,9.97,0,1,0,0,0,1,0,0,0,0,0
3581,1048,2,35,10,9,69,7.66,5.7,0,8,1,0,0,0,0,0,0,0,0
3586,4958,1,27,18,55,122,11.78,8.079999999999998,0,9,0,1,0,0,0,0,0,0,0
3598,4114,1,45,15,7,31,2.25,1.2900000000000003,0,8,1,0,0,0,0,0,0,0,0
3602,1626,1,40,27,7,125,15.27,10.459999999999999,0,4,0,0,0,0,0,0,0,1,0
3615,1297,1,20,11,7,68,5.449999999999999,3.4499999999999997,0,2,0,0,1,0,0,0,0,0,0
3617,2080,2,35,8,383,462,23.650000000000002,15.409999999999997,0,8,1,0,0,0,0,0,0,0,0
3622,6311,2,60,23,7,122,10.949999999999998,8.419999999999998,0,2,0,0,1,0,0,0,0,0,0
3628,3722,2,75,5,21,145,13.39,10.02,0,8,1,0,0,0,0,0,0,0,0
3657,572,2,35,8,18,394,22.099999999999998,14.269999999999998,0,8,1,0,0,0,0,0,0,0,0
3658,11401,2,57,10,16,106,11.67,7.31,0,9,0,1,0,0,0,0,0,0,0
3678,147,2,23,8,4,100,8.710000000000003,6.02,0,8,1,0,0,0,0,0,0,0,0
3682,8678,1,40,21,6,517,47.589999999999996,34.26,0,9,0,1,0,0,0,0,0,0,0
3692,762,1,55,12,27,181,18.16,14.169999999999998,0,4,0,0,0,0,0,0,0,1,0
3696,10347,1,65,30,77,164,7.5200000000000005,6.94,0,4,0,0,0,0,0,0,0,1,0
3700,6192,2,40,11,8,65,6.0200000000000005,4.5600000000000005,0,8,1,0,0,0,0,0,0,0,0
3704,10165,1,49,9,2,109,12.27,9.37,0,8,1,0,0,0,0,0,0,0,0
3708,10637,2,32,26,55,479,31.070000000000004,22.25,0,2,0,0,1,0,0,0,0,0,0
3717,2551,2,22,8,188,230,15.4,10.47,0,5,0,0,0,0,0,0,0,0,1
3724,9496,2,52,20,41,268,21.020000000000003,14.23,0,3,0,0,0,0,0,1,0,0,0
3728,10134,1,61,12,96,203,20.71,14.209999999999997,0,8,1,0,0,0,0,0,0,0,0
3734,4634,2,30,10,63,254,19.939999999999998,12.729999999999999,0,2,0,0,1,0,0,0,0,0,0
3747,925,1,34,13,537,244,26.82,19.8,0,2,0,0,1,0,0,0,0,0,0
3748,3004,2,18,7,16,173,8.98,7.1499999999999995,1,9,0,1,0,0,0,0,0,0,0
3749,11484,2,26,14,27,209,14.88,11.36,0,9,0,1,0,0,0,0,0,0,0
3759,9578,2,20,22,4,111,9.120000000000001,6.059999999999999,0,2,0,0,1,0,0,0,0,0,0
3796,9169,2,25,26,8,139,15.87,10.299999999999999,0,4,0,0,0,0,0,0,0,1,0
3803,3241,1,36,8,28,201,18.03,13.540000000000001,0,9,0,1,0,0,0,0,0,0,0
3830,2399,2,57,9,77,184,19.299999999999997,14.43,0,8,1,0,0,0,0,0,0,0,0
