SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_14,adm2_15,adm2_12,adm2_1,adm2_3,adm2_8,adm2_10,adm2_11,adm2_4,adm2_13,adm2_7,adm2_2,adm2_5,adm2_6
16669,11307,2,34,10,6,1,NA,2199,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16673,2150,2,19,30,1,1,NA,911,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16710,914,2,50,25,2,0,NA,2237,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16782,11495,2,31,26,7,1,NA,1473,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16848,10180,2,21,13,1,1,NA,1746,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16850,6993,2,48,2,6,1,NA,1873,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16931,8290,2,38,8,4,1,NA,1828,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16955,9706,2,18,30,3,1,NA,2438,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16980,1840,2,48,29,3,1,NA,2396,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17068,10871,2,38,18,1,1,NA,1889,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17175,5355,2,35,19,4,1,NA,1255,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17187,2326,2,49,29,6,1,NA,1332,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17269,1804,2,50,28,4,0,NA,1278,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17281,2711,2,65,1,1,0,NA,1505,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17313,5901,2,30,8,7,1,NA,2548,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17315,9572,2,25,17,1,1,NA,1270,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
