SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_5,adm2_9,adm2_1,adm2_11,adm2_10,adm2_4,adm2_6,adm2_12,adm2_3,adm2_7,adm2_8,adm2_2
688,11273,2,48,20,45,128,12.379999999999997,7.879999999999997,0,4,0,0,0,0,0,1,0,0,0,0,0,0
689,8383,1,38,6,475,520,30.830000000000002,22.940000000000005,0,9,0,1,0,0,0,0,0,0,0,0,0,0
692,1843,2,28,15,131,229,18.599999999999998,8.689999999999998,0,2,0,0,0,0,0,0,0,0,0,0,0,1
698,3039,2,26,24,136,204,18.290000000000003,14.14,0,11,0,0,0,1,0,0,0,0,0,0,0,0
704,2335,2,18,6,257,143,9.739999999999997,6.549999999999998,0,9,0,1,0,0,0,0,0,0,0,0,0,0
715,2832,2,79,27,68,145,12.620000000000001,7.67,0,3,0,0,0,0,0,0,0,0,1,0,0,0
751,5990,1,29,21,90,225,22.550000000000004,13.89,0,12,0,0,0,0,0,0,0,1,0,0,0,0
754,9097,1,27,26,260,117,4.92,4.639999999999999,0,7,0,0,0,0,0,0,0,0,0,1,0,0
773,7225,1,43,18,486,172,14.14,6.33,0,5,1,0,0,0,0,0,0,0,0,0,0,0
787,4520,1,40,13,55,351,19.74,9.68,0,6,0,0,0,0,0,0,1,0,0,0,0,0
789,11381,2,36,18,150,1160,13.019999999999996,6.129999999999999,0,12,0,0,0,0,0,0,0,1,0,0,0,0
809,1115,2,28,25,380,162,26.119999999999997,6.419999999999999,0,9,0,1,0,0,0,0,0,0,0,0,0,0
838,10123,2,35,18,42,152,10.19,7.31,0,6,0,0,0,0,0,0,1,0,0,0,0,0
842,10105,2,46,16,261,210,12.639999999999999,8.389999999999999,0,6,0,0,0,0,0,0,1,0,0,0,0,0
849,1656,1,50,20,103,172,13.230000000000002,8.329999999999998,0,4,0,0,0,0,0,1,0,0,0,0,0,0
857,11062,1,21,22,1077,292,22.869999999999997,12.419999999999998,0,11,0,0,0,1,0,0,0,0,0,0,0,0
868,2480,1,70,22,39,138,24.43,6.719999999999998,0,4,0,0,0,0,0,1,0,0,0,0,0,0
875,5623,1,42,11,29,175,19.36,12.99,0,5,1,0,0,0,0,0,0,0,0,0,0,0
894,150,2,24,14,47,180,22.61,11.5,0,10,0,0,0,0,1,0,0,0,0,0,0,0
904,4906,2,22,20,55,212,21.45,12.639999999999997,0,1,0,0,1,0,0,0,0,0,0,0,0,0
918,11215,2,23,27,76,257,19.369999999999997,13.11,0,10,0,0,0,0,1,0,0,0,0,0,0,0
920,4794,1,39,17,24,107,5.599999999999999,4.56,0,5,1,0,0,0,0,0,0,0,0,0,0,0
922,8038,2,34,26,40,1213,7.46,5.92,0,12,0,0,0,0,0,0,0,1,0,0,0,0
946,9034,1,18,21,70,77,7.069999999999999,4.97,0,6,0,0,0,0,0,0,1,0,0,0,0,0
953,6622,1,26,13,287,60,5.25,3.3899999999999997,0,7,0,0,0,0,0,0,0,0,0,1,0,0
972,8576,1,58,15,634,250,11.55,8.14,0,5,1,0,0,0,0,0,0,0,0,0,0,0
975,8337,1,53,19,50,321,20.849999999999998,12.19,0,2,0,0,0,0,0,0,0,0,0,0,0,1
986,8279,2,21,16,37,305,21.220000000000002,13.37,0,4,0,0,0,0,0,1,0,0,0,0,0,0
990,9093,2,52,2,157,310,16.18,10.319999999999999,0,6,0,0,0,0,0,0,1,0,0,0,0,0
1019,5850,2,22,23,106,245,11.200000000000003,8.919999999999998,0,9,0,1,0,0,0,0,0,0,0,0,0,0
1043,3487,2,27,6,32,174,7.979999999999999,5.359999999999999,0,11,0,0,0,1,0,0,0,0,0,0,0,0
1072,7134,1,38,6,95,252,10.620000000000001,9.1,0,11,0,0,0,1,0,0,0,0,0,0,0,0
1073,2597,2,49,10,90,156,9.379999999999999,7.380000000000001,0,11,0,0,0,1,0,0,0,0,0,0,0,0
1083,10948,1,70,21,72,38,3.27,1.4500000000000002,0,4,0,0,0,0,0,1,0,0,0,0,0,0
1090,6059,1,75,16,50,224,14.319999999999999,9.379999999999999,0,4,0,0,0,0,0,1,0,0,0,0,0,0
1094,1999,1,51,29,85,98,5.080000000000001,4.830000000000001,0,10,0,0,0,0,1,0,0,0,0,0,0,0
1112,6769,2,28,21,942,184,14.319999999999999,7.1499999999999995,0,6,0,0,0,0,0,0,1,0,0,0,0,0
1125,5061,2,27,26,82,221,7.24,7.909999999999997,0,11,0,0,0,1,0,0,0,0,0,0,0,0
1127,5577,2,30,17,42,220,10.5,6.55,0,5,1,0,0,0,0,0,0,0,0,0,0,0
1135,2065,2,22,21,189,169,7.4,6.89,0,11,0,0,0,1,0,0,0,0,0,0,0,0
1140,4460,1,39,18,52,226,8.85,7.3999999999999995,0,7,0,0,0,0,0,0,0,0,0,1,0,0
1142,4583,1,32,21,45,171,8.079999999999998,6.289999999999999,0,10,0,0,0,0,1,0,0,0,0,0,0,0
1146,446,2,55,20,513,391,20.400000000000002,13.559999999999999,0,7,0,0,0,0,0,0,0,0,0,1,0,0
1156,7628,2,23,24,1214,233,12.180000000000001,5.29,0,12,0,0,0,0,0,0,0,1,0,0,0,0
1169,6738,2,51,13,11,165,19.97,13.719999999999999,0,5,1,0,0,0,0,0,0,0,0,0,0,0
1180,7974,2,32,27,44,153,19.67,10.339999999999998,0,10,0,0,0,0,1,0,0,0,0,0,0,0
1231,7450,2,35,17,29,44,3.4999999999999996,2.3899999999999997,0,2,0,0,0,0,0,0,0,0,0,0,0,1
1234,10372,1,25,24,47,221,10.710000000000004,6.609999999999999,0,12,0,0,0,0,0,0,0,1,0,0,0,0
1251,816,2,22,27,110,89,6.04,4.4,0,3,0,0,0,0,0,0,0,0,1,0,0,0
1257,4662,2,41,22,114,132,6.930000000000001,5.37,0,9,0,1,0,0,0,0,0,0,0,0,0,0
1266,7299,2,40,15,99,165,11.500000000000004,8.42,0,2,0,0,0,0,0,0,0,0,0,0,0,1
1296,3151,1,35,18,374,206,21.270000000000007,11.38,0,8,0,0,0,0,0,0,0,0,0,0,1,0
1300,8904,2,72,19,37,41,4.079999999999999,2.8399999999999994,0,2,0,0,0,0,0,0,0,0,0,0,0,1
1316,9438,2,47,30,130,156,11.49,9.29,0,7,0,0,0,0,0,0,0,0,0,1,0,0
1338,5366,2,42,19,64,139,7.299999999999999,6.9300000000000015,0,5,1,0,0,0,0,0,0,0,0,0,0,0
1369,3048,2,28,10,149,199,9.379999999999999,8.859999999999998,0,9,0,1,0,0,0,0,0,0,0,0,0,0
1371,8948,1,60,14,33,162,9.979999999999997,7.389999999999999,0,8,0,0,0,0,0,0,0,0,0,0,1,0
1385,6736,1,25,26,11,205,7.62,6.359999999999999,0,12,0,0,0,0,0,0,0,1,0,0,0,0
1400,4906,1,38,20,56,293,29.06,17.939999999999998,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1410,6337,1,18,29,46,241,18.080000000000002,12.289999999999997,0,10,0,0,0,0,1,0,0,0,0,0,0,0
1412,5267,1,38,10,93,202,17.09,11.34,0,7,0,0,0,0,0,0,0,0,0,1,0,0
1415,6404,1,60,6,1120,342,25.04,13.559999999999999,0,7,0,0,0,0,0,0,0,0,0,1,0,0
1421,4166,2,51,16,86,152,10.969999999999999,8.799999999999997,0,12,0,0,0,0,0,0,0,1,0,0,0,0
1425,1113,2,42,4,174,206,14.349999999999998,9.26,0,7,0,0,0,0,0,0,0,0,0,1,0,0
1431,8122,2,62,14,511,396,8.729999999999999,6.01,0,7,0,0,0,0,0,0,0,0,0,1,0,0
1475,3842,2,30,16,82,128,12.47,9.199999999999998,0,8,0,0,0,0,0,0,0,0,0,0,1,0
1483,8295,2,45,24,145,126,9.610000000000001,6.8999999999999995,0,9,0,1,0,0,0,0,0,0,0,0,0,0
1499,5524,2,75,16,117,113,10.59,6.819999999999999,0,8,0,0,0,0,0,0,0,0,0,0,1,0
1500,7654,2,37,10,53,128,14.03,6.659999999999999,0,12,0,0,0,0,0,0,0,1,0,0,0,0
1502,8358,1,40,18,74,136,11.03,6.859999999999999,0,10,0,0,0,0,1,0,0,0,0,0,0,0
1515,6551,2,35,2,107,130,7.62,5.8999999999999995,0,7,0,0,0,0,0,0,0,0,0,1,0,0
