SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_2,adm2_7,adm2_10,adm2_5,adm2_6,adm2_4
28095,3282,1,31,26,7,NA,NA,1235,1,1,0,0,1,0,0,0,0,0,0,0
28302,11486,1,40,10,4,NA,NA,868,0,9,1,0,0,0,0,0,0,0,0,0
28315,10189,1,21,20,3,NA,NA,1041,0,8,0,0,0,1,0,0,0,0,0,0
28322,10597,1,62,3,2,NA,NA,5,0,9,1,0,0,0,0,0,0,0,0,0
28322,10597,1,62,3,6,NA,NA,996,0,9,1,0,0,0,0,0,0,0,0,0
28345,5646,1,35,2,5,NA,NA,1692,0,6,0,0,0,0,0,0,0,0,1,0
28411,11640,1,50,16,7,NA,NA,1647,1,3,0,1,0,0,0,0,0,0,0,0
28416,4006,1,30,4,7,NA,NA,1788,1,6,0,0,0,0,0,0,0,0,1,0
28467,5973,1,25,8,5,NA,NA,2145,0,1,0,0,1,0,0,0,0,0,0,0
28491,6116,1,22,21,6,NA,NA,1941,0,3,0,1,0,0,0,0,0,0,0,0
28595,2589,1,38,24,4,NA,NA,2152,0,1,0,0,1,0,0,0,0,0,0,0
28745,9507,1,26,9,4,NA,NA,1335,0,7,0,0,0,0,0,1,0,0,0,0
28761,11507,1,25,12,5,NA,NA,2320,0,10,0,0,0,0,0,0,1,0,0,0
28801,5513,1,37,13,5,NA,NA,1370,0,10,0,0,0,0,0,0,1,0,0,0
28807,4749,1,25,29,3,NA,NA,2473,0,1,0,0,1,0,0,0,0,0,0,0
28832,5637,1,42,17,5,NA,NA,2436,0,9,1,0,0,0,0,0,0,0,0,0
28834,5521,1,60,21,1,NA,NA,2125,1,1,0,0,1,0,0,0,0,0,0,0
28846,4399,1,70,26,6,NA,NA,2086,0,1,0,0,1,0,0,0,0,0,0,0
28883,4767,1,35,24,7,NA,NA,1500,1,6,0,0,0,0,0,0,0,0,1,0
28958,6951,1,57,27,4,NA,NA,1186,0,4,0,0,0,0,0,0,0,0,0,1
28973,9571,1,40,9,3,NA,NA,1277,0,9,1,0,0,0,0,0,0,0,0,0
28978,2635,1,59,3,3,NA,NA,3161,0,5,0,0,0,0,0,0,0,1,0,0
29017,9195,1,21,21,4,NA,NA,1345,0,4,0,0,0,0,0,0,0,0,0,1
29038,2267,1,49,5,5,NA,NA,1206,0,5,0,0,0,0,0,0,0,1,0,0
29078,10335,1,58,18,5,NA,NA,2345,0,1,0,0,1,0,0,0,0,0,0,0
29080,7884,1,30,20,3,NA,NA,1031,0,8,0,0,0,1,0,0,0,0,0,0
29173,10228,1,25,22,5,NA,NA,1911,0,2,0,0,0,0,1,0,0,0,0,0
29194,1835,1,21,21,5,NA,NA,1597,0,9,1,0,0,0,0,0,0,0,0,0
29215,7434,1,22,7,1,NA,NA,1910,1,9,1,0,0,0,0,0,0,0,0,0
29254,3137,1,30,25,6,NA,NA,1637,0,1,0,0,1,0,0,0,0,0,0,0
29314,531,1,24,8,5,NA,NA,1386,0,7,0,0,0,0,0,1,0,0,0,0
29340,3126,1,60,13,4,NA,NA,1165,0,3,0,1,0,0,0,0,0,0,0,0
29344,10808,1,23,22,3,NA,NA,2131,0,4,0,0,0,0,0,0,0,0,0,1
29431,1232,1,45,4,7,NA,NA,1881,1,6,0,0,0,0,0,0,0,0,1,0
29446,11254,1,65,8,5,NA,NA,1572,0,7,0,0,0,0,0,1,0,0,0,0
29513,9516,1,46,4,3,NA,NA,1929,0,5,0,0,0,0,0,0,0,1,0,0
29587,4448,1,19,20,3,NA,NA,2154,0,2,0,0,0,0,1,0,0,0,0,0
29603,6837,1,48,20,1,NA,NA,1750,1,4,0,0,0,0,0,0,0,0,0,1
29714,877,1,75,29,7,NA,NA,1498,1,3,0,1,0,0,0,0,0,0,0,0
29728,9905,1,23,23,1,NA,NA,1121,1,10,0,0,0,0,0,0,1,0,0,0
29770,3354,1,60,29,3,NA,NA,1969,0,1,0,0,1,0,0,0,0,0,0,0
29772,1970,1,36,14,5,NA,NA,2641,0,3,0,1,0,0,0,0,0,0,0,0
29797,1456,1,21,25,2,NA,NA,1500,0,5,0,0,0,0,0,0,0,1,0,0
29803,10733,1,45,27,4,NA,NA,1838,0,5,0,0,0,0,0,0,0,1,0,0
29818,1764,1,26,3,6,NA,NA,1644,0,2,0,0,0,0,1,0,0,0,0,0
29822,9840,1,26,14,4,NA,NA,1382,0,8,0,0,0,1,0,0,0,0,0,0
29849,2497,1,60,8,4,NA,NA,520,0,6,0,0,0,0,0,0,0,0,1,0
29894,5458,1,30,26,5,NA,NA,2531,0,2,0,0,0,0,1,0,0,0,0,0
29903,1772,1,65,14,4,NA,NA,625,0,8,0,0,0,1,0,0,0,0,0,0
29922,4943,1,68,3,3,NA,NA,1209,0,5,0,0,0,0,0,0,0,1,0,0
29930,4410,1,50,22,3,NA,NA,2729,0,7,0,0,0,0,0,1,0,0,0,0
29977,10817,1,23,20,3,NA,NA,1712,0,4,0,0,0,0,0,0,0,0,0,1
30004,1426,1,75,21,1,NA,NA,1837,1,1,0,0,1,0,0,0,0,0,0,0
30010,8117,1,34,25,2,NA,NA,1901,0,9,1,0,0,0,0,0,0,0,0,0
30035,3145,1,28,19,6,NA,NA,3523,0,1,0,0,1,0,0,0,0,0,0,0
30094,3265,1,28,12,5,NA,NA,2974,0,10,0,0,0,0,0,0,1,0,0,0
30134,5603,1,60,21,6,NA,NA,1831,0,3,0,1,0,0,0,0,0,0,0,0
30147,682,1,50,25,6,NA,NA,1720,0,1,0,0,1,0,0,0,0,0,0,0
30148,10808,1,62,22,3,NA,NA,1264,0,4,0,0,0,0,0,0,0,0,0,1
30197,11233,1,22,1,1,NA,NA,4186,1,8,0,0,0,1,0,0,0,0,0,0
30216,4252,1,30,19,2,NA,NA,1085,0,8,0,0,0,1,0,0,0,0,0,0
30236,9704,1,69,18,5,NA,NA,2000,0,1,0,0,1,0,0,0,0,0,0,0
30239,6330,1,55,20,3,NA,NA,1217,0,4,0,0,0,0,0,0,0,0,0,1
30267,6488,1,20,21,4,NA,NA,2708,0,4,0,0,0,0,0,0,0,0,0,1
30290,6647,1,46,29,3,NA,NA,1185,0,1,0,0,1,0,0,0,0,0,0,0
30339,416,1,32,27,5,NA,NA,1697,0,3,0,1,0,0,0,0,0,0,0,0
30364,3623,1,40,19,2,NA,NA,1287,0,8,0,0,0,1,0,0,0,0,0,0
30377,3325,1,35,2,1,NA,NA,1567,1,5,0,0,0,0,0,0,0,1,0,0
30388,4046,1,48,25,6,NA,NA,1785,0,1,0,0,1,0,0,0,0,0,0,0
30431,4893,1,28,7,4,NA,NA,1579,0,1,0,0,1,0,0,0,0,0,0,0
30435,6359,1,25,29,7,NA,NA,658,1,3,0,1,0,0,0,0,0,0,0,0
30455,2267,1,25,5,5,NA,NA,1372,0,5,0,0,0,0,0,0,0,1,0,0
30484,478,1,22,5,6,NA,NA,869,0,9,1,0,0,0,0,0,0,0,0,0
30492,53,1,55,9,3,NA,NA,1096,0,9,1,0,0,0,0,0,0,0,0,0
30575,7199,1,32,30,4,NA,NA,2078,0,1,0,0,1,0,0,0,0,0,0,0
30641,5941,1,23,8,4,NA,NA,966,0,7,0,0,0,0,0,1,0,0,0,0
30646,8531,1,35,3,2,NA,NA,2695,0,5,0,0,0,0,0,0,0,1,0,0
30701,8680,1,25,21,5,NA,NA,1635,0,9,1,0,0,0,0,0,0,0,0,0
30793,531,1,29,8,5,NA,NA,1113,0,7,0,0,0,0,0,1,0,0,0,0
30802,7634,1,18,6,6,NA,NA,2171,0,5,0,0,0,0,0,0,0,1,0,0
30843,8869,1,21,23,6,NA,NA,615,0,6,0,0,0,0,0,0,0,0,1,0
30922,1101,1,36,18,6,NA,NA,2096,0,9,1,0,0,0,0,0,0,0,0,0
30958,2792,1,65,20,1,NA,NA,1664,1,4,0,0,0,0,0,0,0,0,0,1
31066,7811,1,36,20,5,NA,NA,1416,0,3,0,1,0,0,0,0,0,0,0,0
31078,4910,1,21,30,6,NA,NA,2796,0,8,0,0,0,1,0,0,0,0,0,0
31101,4158,1,41,2,1,NA,NA,1912,1,5,0,0,0,0,0,0,0,1,0,0
31123,582,1,55,15,7,NA,NA,3181,1,10,0,0,0,0,0,0,1,0,0,0
31134,7460,1,28,16,6,NA,NA,741,0,8,0,0,0,1,0,0,0,0,0,0
31136,4346,1,40,19,2,NA,NA,628,0,8,0,0,0,1,0,0,0,0,0,0
31153,7679,1,27,19,4,NA,NA,899,0,3,0,1,0,0,0,0,0,0,0,0
31163,7856,1,70,6,3,NA,NA,1195,0,1,0,0,1,0,0,0,0,0,0,0
31234,5683,1,32,8,5,NA,NA,1417,0,7,0,0,0,0,0,1,0,0,0,0
31260,10828,1,21,3,3,NA,NA,391,0,5,0,0,0,0,0,0,0,1,0,0
31261,347,1,30,30,2,NA,NA,2568,0,2,0,0,0,0,1,0,0,0,0,0
31336,3370,1,50,8,5,NA,NA,436,0,7,0,0,0,0,0,1,0,0,0,0
31349,7094,1,31,4,1,NA,NA,2659,1,1,0,0,1,0,0,0,0,0,0,0
31350,4223,1,26,5,2,NA,NA,1733,0,1,0,0,1,0,0,0,0,0,0,0
31398,4222,1,60,24,7,NA,NA,1863,1,6,0,0,0,0,0,0,0,0,1,0
31414,1304,1,55,4,1,NA,NA,1234,1,1,0,0,1,0,0,0,0,0,0,0
31430,1456,1,65,25,2,NA,NA,1515,0,5,0,0,0,0,0,0,0,1,0,0
31438,6727,1,26,16,6,NA,NA,801,0,8,0,0,0,1,0,0,0,0,0,0
31465,4665,1,21,18,5,NA,NA,2334,0,1,0,0,1,0,0,0,0,0,0,0
31476,10632,1,52,17,2,NA,NA,1301,0,10,0,0,0,0,0,0,1,0,0,0
31489,1093,1,60,2,2,NA,NA,1414,0,8,0,0,0,1,0,0,0,0,0,0
31496,9686,1,38,18,1,NA,NA,1521,1,8,0,0,0,1,0,0,0,0,0,0
31562,8117,1,50,25,2,NA,NA,1960,0,9,1,0,0,0,0,0,0,0,0,0
31580,2738,1,65,22,5,NA,NA,1069,0,6,0,0,0,0,0,0,0,0,1,0
31706,2300,1,48,1,1,NA,NA,1700,1,8,0,0,0,1,0,0,0,0,0,0
31739,4101,1,40,9,4,NA,NA,1080,0,7,0,0,0,0,0,1,0,0,0,0
31740,5870,1,65,4,4,NA,NA,1036,0,5,0,0,0,0,0,0,0,1,0,0
31746,11291,1,58,12,2,NA,NA,1934,0,7,0,0,0,0,0,1,0,0,0,0
31794,3204,1,50,29,5,NA,NA,1929,0,5,0,0,0,0,0,0,0,1,0,0
31830,4705,1,38,20,1,NA,NA,2322,1,4,0,0,0,0,0,0,0,0,0,1
31853,6412,1,75,9,6,NA,NA,984,0,7,0,0,0,0,0,1,0,0,0,0
31868,5053,1,22,5,6,NA,NA,1531,0,9,1,0,0,0,0,0,0,0,0,0
32035,4113,1,65,8,4,NA,NA,1140,0,6,0,0,0,0,0,0,0,0,1,0
32051,6837,1,19,20,1,NA,NA,2252,1,4,0,0,0,0,0,0,0,0,0,1
32103,8959,1,19,27,4,NA,NA,699,0,5,0,0,0,0,0,0,0,1,0,0
32109,9507,1,60,9,4,NA,NA,1049,0,7,0,0,0,0,0,1,0,0,0,0
32158,3835,1,40,22,6,NA,NA,1470,0,9,1,0,0,0,0,0,0,0,0,0
32189,11629,1,38,27,1,NA,NA,1400,1,1,0,0,1,0,0,0,0,0,0,0
32199,2971,1,38,27,5,NA,NA,2577,0,3,0,1,0,0,0,0,0,0,0,0
32216,6747,1,36,12,2,NA,NA,2138,0,7,0,0,0,0,0,1,0,0,0,0
32231,5568,1,58,16,7,NA,NA,847,1,3,0,1,0,0,0,0,0,0,0,0
