SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_8,adm2_9,adm2_2,adm2_1,adm2_6,adm2_3,adm2_7,adm2_4,adm2_5
708,11440,2,20,16,4,1,NA,35,16,1,NA,148,16,1,NA,11.849999999999998,16,1,NA,6.9799999999999995,16,1,NA,0,0,5,0,0,0,0,0,0,0,0,1
737,7108,2,30,9,2,1,NA,19,9,1,NA,162,9,1,NA,12.340000000000002,9,1,NA,8.87,9,1,NA,0.2781,0,2,0,0,1,0,0,0,0,0,0
748,375,2,60,18,7,NA,NA,212,18,NA,NA,180,18,NA,NA,12.590000000000002,18,NA,NA,5.830000000000001,18,0,NA,0.4311,1,8,1,0,0,0,0,0,0,0,0
756,1380,2,40,25,7,1,NA,78,25,1,NA,96,25,1,NA,6.22,25,1,NA,4.569999999999999,25,1,NA,0.27,1,1,0,0,0,1,0,0,0,0,0
774,1095,2,30,9,4,1,NA,5,9,1,NA,197,9,1,NA,85.11,9,1,NA,14.62,9,1,NA,0,0,7,0,0,0,0,0,0,1,0,0
883,1292,2,38,8,5,1,NA,476,8,1,NA,242,8,1,NA,14.19,8,1,NA,9.06,8,1,NA,0,0,1,0,0,0,1,0,0,0,0,0
924,2357,2,37,8,2,1,NA,14,8,1,NA,172,8,1,NA,13.879999999999999,8,1,NA,9.27,8,1,NA,0.45,0,4,0,0,0,0,0,0,0,1,0
971,2122,2,65,10,3,NA,NA,12,10,NA,NA,291,10,NA,NA,28.52,10,NA,NA,17.169999999999998,10,0,NA,0,0,2,0,0,1,0,0,0,0,0,0
1009,3674,2,45,5,5,1,NA,46,5,1,NA,104,5,1,NA,9.3,5,1,NA,5.110000000000001,5,1,NA,0,0,8,1,0,0,0,0,0,0,0,0
1053,5396,2,55,3,5,NA,NA,5,3,NA,NA,86,3,NA,NA,9.53,3,NA,NA,6.739999999999999,3,0,NA,0,0,1,0,0,0,1,0,0,0,0,0
1114,5192,2,22,20,2,1,NA,23,20,1,NA,166,20,1,NA,15.630000000000003,20,1,NA,10.139999999999999,20,1,NA,2.9177999999999997,0,8,1,0,0,0,0,0,0,0,0
1116,6852,2,35,2,3,1,NA,296,2,1,NA,199,2,1,NA,19.13,2,1,NA,12.799999999999999,2,1,NA,0,0,4,0,0,0,0,0,0,0,1,0
1177,11472,2,48,2,1,1,NA,1036,2,1,NA,137,2,1,NA,7.969999999999999,2,1,NA,3.39,2,1,NA,0,1,4,0,0,0,0,0,0,0,1,0
1187,7779,2,21,24,7,1,NA,584,24,1,NA,212,24,1,NA,9.639999999999997,24,1,NA,5,24,1,NA,0,1,5,0,0,0,0,0,0,0,0,1
1202,8261,2,22,22,2,1,NA,76,22,1,NA,114,22,1,NA,11.070000000000002,22,1,NA,8.67,22,1,NA,4.5,0,6,0,0,0,0,1,0,0,0,0
1214,7720,2,39,18,7,1,NA,313,18,1,NA,339,18,1,NA,19.51,18,1,NA,11.15,18,1,NA,1.0206,1,8,1,0,0,0,0,0,0,0,0
1223,9219,2,56,6,7,NA,NA,7,6,NA,NA,118,6,NA,NA,13.940000000000001,6,NA,NA,10.28,6,0,NA,0.225,1,4,0,0,0,0,0,0,0,1,0
1242,10323,2,35,18,7,1,NA,180,18,1,NA,186,18,1,NA,18.88,18,1,NA,10.37,18,1,NA,0.4842,1,8,1,0,0,0,0,0,0,0,0
1280,4018,2,38,22,7,1,NA,3,22,1,NA,103,22,1,NA,7.69,22,1,NA,5.31,22,1,NA,0,1,2,0,0,1,0,0,0,0,0,0
1286,11694,2,30,14,2,1,NA,15,14,1,NA,244,14,1,NA,19.05,14,1,NA,14.01,14,1,NA,3.888,0,6,0,0,0,0,1,0,0,0,0
1317,7329,2,47,12,7,1,NA,8,12,1,NA,139,12,1,NA,10.13,12,1,NA,7.309999999999998,12,1,NA,0.3672,1,9,0,1,0,0,0,0,0,0,0
1336,1271,2,60,18,6,NA,NA,0,18,NA,NA,50,18,NA,NA,5.87,18,NA,NA,4.25,18,0,NA,1.8,0,5,0,0,0,0,0,0,0,0,1
1339,3329,2,42,1,3,1,NA,6,1,1,NA,124,1,1,NA,11.35,1,1,NA,8.15,1,1,NA,0.09270000000000002,0,1,0,0,0,1,0,0,0,0,0
1459,6973,2,30,30,1,1,NA,25,30,1,NA,149,30,1,NA,10.020000000000001,30,1,NA,7.829999999999999,30,1,NA,0,1,1,0,0,0,1,0,0,0,0,0
1469,3185,2,39,20,2,1,NA,43,20,1,NA,198,20,1,NA,18.47,20,1,NA,12.469999999999999,20,1,NA,0.9891,0,8,1,0,0,0,0,0,0,0,0
1524,2205,2,23,12,5,1,NA,135,12,1,NA,100,12,1,NA,6.839999999999999,12,1,NA,4.949999999999999,12,1,NA,0.35550000000000004,0,8,1,0,0,0,0,0,0,0,0
1564,4562,2,36,31,3,1,NA,110,31,1,NA,136,31,1,NA,13.699999999999998,31,1,NA,8.779999999999998,31,1,NA,1.3941000000000001,0,7,0,0,0,0,0,0,1,0,0
1638,1888,2,19,7,7,1,NA,57,7,1,NA,110,7,1,NA,7.61,7,1,NA,5.45,7,1,NA,0.6129,1,8,1,0,0,0,0,0,0,0,0
1650,10577,2,18,10,7,1,NA,1119,10,1,NA,409,10,1,NA,19.31,10,1,NA,9.599999999999998,10,1,NA,1.5804,1,4,0,0,0,0,0,0,0,1,0
1728,5952,2,37,22,4,1,NA,25,22,1,NA,205,22,1,NA,17.009999999999998,22,1,NA,13.11,22,1,NA,0,0,8,1,0,0,0,0,0,0,0,0
1761,1396,2,38,10,7,1,NA,1291,10,1,NA,438,10,1,NA,18.9,10,1,NA,8.699999999999998,10,1,NA,0.4113,1,4,0,0,0,0,0,0,0,1,0
1762,9091,2,30,27,1,1,NA,19,27,1,NA,106,27,1,NA,7.370000000000001,27,1,NA,4.889999999999999,27,1,NA,0.8981999999999999,1,6,0,0,0,0,1,0,0,0,0
1791,8776,2,25,17,1,1,NA,1878,17,1,NA,144,17,1,NA,69.11,17,1,NA,6.49,17,1,NA,0.3375,1,6,0,0,0,0,1,0,0,0,0
1845,8829,2,40,7,4,1,NA,6,7,1,NA,51,7,1,NA,4.88,7,1,NA,3.3999999999999995,7,1,NA,0.3033,0,9,0,1,0,0,0,0,0,0,0
1986,5245,2,21,19,3,1,NA,26,19,1,NA,135,19,1,NA,15.12,19,1,NA,10.729999999999999,19,1,NA,0,0,9,0,1,0,0,0,0,0,0,0
1991,4933,2,26,30,1,1,NA,16,30,1,NA,158,30,1,NA,12.95,30,1,NA,10.59,30,1,NA,0,1,1,0,0,0,1,0,0,0,0,0
2020,10606,2,67,5,5,NA,NA,26,5,NA,NA,185,5,NA,NA,15.99,5,NA,NA,12.879999999999997,5,0,NA,0.37800000000000006,0,5,0,0,0,0,0,0,0,0,1
2021,7455,2,70,9,2,NA,NA,5,9,NA,NA,92,9,NA,NA,7.14,9,NA,NA,4.829999999999999,9,0,NA,0.4536,0,2,0,0,1,0,0,0,0,0,0
2043,2744,2,50,13,6,NA,NA,9,13,NA,NA,184,13,NA,NA,15.78,13,NA,NA,12.04,13,0,NA,0,0,2,0,0,1,0,0,0,0,0,0
2161,2883,2,38,8,5,1,NA,309,8,1,NA,232,8,1,NA,11.5,8,1,NA,6.55,8,1,NA,0.6003000000000001,0,1,0,0,0,1,0,0,0,0,0
2179,265,2,45,12,4,1,NA,19,12,1,NA,118,12,1,NA,12.45,12,1,NA,9.279999999999998,12,1,NA,0.945,0,8,1,0,0,0,0,0,0,0,0
2181,10606,2,30,5,5,1,NA,25,5,1,NA,114,5,1,NA,6.409999999999999,5,1,NA,5.6899999999999995,5,1,NA,0.37800000000000006,0,5,0,0,0,0,0,0,0,0,1
2211,10235,2,45,13,6,1,NA,52,13,1,NA,197,13,1,NA,18.5,13,1,NA,13.43,13,1,NA,4.3038,0,2,0,0,1,0,0,0,0,0,0
2218,5391,2,30,27,3,1,NA,390,27,1,NA,415,27,1,NA,25.99,27,1,NA,16.8,27,1,NA,0,0,2,0,0,1,0,0,0,0,0,0
2229,10732,2,48,22,6,1,NA,19,22,1,NA,174,22,1,NA,24.5,22,1,NA,16.320000000000004,22,1,NA,0.6426000000000001,0,7,0,0,0,0,0,0,1,0,0
2262,1580,2,60,23,4,NA,NA,14,23,NA,NA,125,23,NA,NA,10.85,23,NA,NA,7.5,23,0,NA,0,0,5,0,0,0,0,0,0,0,0,1
2336,830,2,60,8,1,NA,NA,17,8,NA,NA,118,8,NA,NA,10.11,8,NA,NA,7.119999999999999,8,0,NA,0,1,8,1,0,0,0,0,0,0,0,0
2407,11739,2,48,24,1,1,NA,9,24,1,NA,235,24,1,NA,20.69,24,1,NA,14.299999999999999,24,1,NA,0,1,9,0,1,0,0,0,0,0,0,0
2426,11857,2,25,3,5,1,NA,10,3,1,NA,166,3,1,NA,15.76,3,1,NA,11.19,3,1,NA,0,0,1,0,0,0,1,0,0,0,0,0
2445,4606,2,20,10,3,1,NA,7,10,1,NA,171,10,1,NA,13.35,10,1,NA,9.7,10,1,NA,0.3753,0,8,1,0,0,0,0,0,0,0,0
2458,5775,2,19,14,2,1,NA,255,14,1,NA,294,14,1,NA,18.949999999999996,14,1,NA,11.5,14,1,NA,1.1511000000000002,0,6,0,0,0,0,1,0,0,0,0
2459,4719,2,19,21,1,1,NA,73,21,1,NA,168,21,1,NA,18.06,21,1,NA,12.55,21,1,NA,0,1,6,0,0,0,0,1,0,0,0,0
