SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_14,adm2_15,adm2_12,adm2_1,adm2_3,adm2_8,adm2_10,adm2_11,adm2_4,adm2_13,adm2_7,adm2_2,adm2_5,adm2_6
606,11684,2,47,10,5,1,NA,441,10,1,NA,116,10,1,NA,13.099999999999998,10,1,NA,5.1,10,1,NA,5.552600000000001,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
618,3967,2,41,17,4,1,NA,77,17,1,NA,159,17,1,NA,6.47,17,1,NA,5.84,17,1,NA,1.575,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
625,9651,2,52,6,2,NA,NA,40,6,NA,NA,63,6,NA,NA,4.23,6,NA,NA,4.249999999999999,6,0,NA,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
631,1496,2,24,15,5,1,NA,98,15,1,NA,64,15,1,NA,4.02,15,1,NA,3.29,15,1,NA,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
643,5839,2,38,21,5,1,NA,73,21,1,NA,532,21,1,NA,12.43,21,1,NA,4.17,21,1,NA,24.5149,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
651,8818,2,35,16,4,1,NA,144,16,1,NA,76,16,1,NA,3.9699999999999998,16,1,NA,4.38,16,1,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
663,4813,2,30,1,3,1,NA,82,1,1,NA,117,1,1,NA,6.909999999999999,1,1,NA,6.0600000000000005,1,1,NA,1.5182999999999998,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
665,5417,2,26,14,2,1,NA,93,14,1,NA,1613,14,1,NA,8.729999999999999,14,1,NA,4.8,14,1,NA,10.6152,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
728,4787,2,47,10,5,1,NA,2838,10,1,NA,384,10,1,NA,24.569999999999997,10,1,NA,11.84,10,1,NA,1.197,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793,1643,2,40,14,6,1,NA,61,14,1,NA,174,14,1,NA,8.12,14,1,NA,3.63,14,1,NA,5.1312,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
814,6295,2,54,29,3,NA,NA,70,29,NA,NA,201,29,NA,NA,8.2,29,NA,NA,6.029999999999999,29,0,NA,1.35,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
817,10974,2,30,21,3,1,NA,283,21,1,NA,1978,21,1,NA,10.81,21,1,NA,9.149999999999997,21,1,NA,6.31,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
