SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_4,adm2_11,adm2_10,adm2_2,adm2_7,adm2_14,adm2_9,adm2_15,adm2_3,adm2_13,adm2_12,adm2_5,adm2_8,adm2_6,adm2_1
974,7799,1,48,23,3,NA,NA,85,23,NA,NA,201,23,NA,NA,17.83,23,NA,NA,12.29,23,NA,NA,1.7568,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1001,2599,1,25,13,4,NA,NA,208,13,NA,NA,189,13,NA,NA,8.94,13,NA,NA,8.88,13,NA,NA,2.277,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,6952,1,55,10,5,NA,NA,144,10,NA,NA,189,10,NA,NA,11.86,10,NA,NA,8.079999999999998,10,NA,NA,1.35,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1104,4318,1,54,3,3,NA,NA,130,3,NA,NA,144,3,NA,NA,14.22,3,NA,NA,8.419999999999998,3,NA,NA,1.424,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1153,11542,1,28,15,3,NA,NA,104,15,NA,NA,638,15,NA,NA,22.339999999999993,15,NA,NA,9.739999999999998,15,NA,NA,24.860799999999998,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1201,10032,1,57,2,4,NA,NA,172,2,NA,NA,257,2,NA,NA,7.9399999999999995,2,NA,NA,6.009999999999999,2,NA,NA,1.44,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1276,11512,1,48,2,5,NA,NA,123,2,NA,NA,75,2,NA,NA,6.36,2,NA,NA,5.39,2,NA,NA,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1307,9551,1,47,14,6,NA,NA,124,14,NA,NA,326,14,NA,NA,14.619999999999997,14,NA,NA,9.54,14,NA,NA,2.88,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1308,4745,1,33,29,3,NA,NA,81,29,NA,NA,204,29,NA,NA,10.81,29,NA,NA,6.709999999999999,29,NA,NA,0.4554,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1414,6612,1,31,8,1,NA,NA,81,8,NA,NA,108,8,NA,NA,64.81000000000002,8,NA,NA,7.640000000000001,8,NA,NA,0.6075,1,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
