SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_9,adm2_4,adm2_14,adm2_15,adm2_11,adm2_10,adm2_12,adm2_2,adm2_7,adm2_1,adm2_3,adm2_8,adm2_13,adm2_5,adm2_6
643,5839,2,38,21,73,532,12.43,4.17,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
651,8818,2,35,16,144,76,3.9699999999999998,4.38,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
663,4813,2,30,1,82,117,6.909999999999999,6.0600000000000005,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
665,5417,2,26,14,93,1613,8.729999999999999,4.8,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
728,4787,2,47,10,2838,384,24.569999999999997,11.84,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736,6154,1,21,18,52,132,8.01,5.999999999999999,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
743,5282,1,66,12,100,214,11.440000000000001,8.229999999999999,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
761,7017,1,34,2,39,121,6.35,6.879999999999998,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
776,7813,1,38,27,113,159,10.48,6.73,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
793,1643,2,40,14,61,174,8.12,3.63,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
814,6295,2,54,29,70,201,8.2,6.029999999999999,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
817,10974,2,30,21,283,1978,10.81,9.149999999999997,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
818,3997,2,70,12,193,131,6.9799999999999995,7.26,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
840,3135,1,29,3,338,266,13.670000000000002,8.95,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
882,2515,2,31,2,94,233,11.089999999999998,7.549999999999998,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
884,2297,1,38,25,547,291,18.160000000000004,13.629999999999999,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
888,8412,2,38,25,768,1016,10.379999999999999,6.02,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,766,1,59,30,25,223,13.86,9.139999999999997,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
910,38,1,24,16,92,129,6.800000000000001,5.64,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
