SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_6,adm2_3,adm2_1,adm2_2,adm2_7,adm2_4,adm2_5,adm2_8
2225,10562,1,30,17,77,105,6.050000000000001,7.019999999999999,0,5,0,0,0,0,0,0,1,0
2252,6327,2,55,27,326,97,8.780000000000001,5.749999999999999,0,3,0,1,0,0,0,0,0,0
2255,9983,1,40,12,37,152,9.829999999999998,8.049999999999999,0,8,0,0,0,0,0,0,0,1
2294,2587,2,35,9,5,37,4.989999999999999,3.8999999999999995,0,5,0,0,0,0,0,0,1,0
2304,4595,1,30,18,247,174,7.779999999999999,9.04,0,7,0,0,0,0,1,0,0,0
2313,3165,1,62,9,177,241,9.849999999999998,6.8599999999999985,0,8,0,0,0,0,0,0,0,1
2315,6915,2,38,16,73,82,6.96,5.92,0,8,0,0,0,0,0,0,0,1
2330,8721,2,36,14,34,318,10.770000000000001,9.83,0,7,0,0,0,0,1,0,0,0
2338,6546,1,45,16,4872,183,15.81,13.709999999999997,0,8,0,0,0,0,0,0,0,1
2341,7473,2,21,1,224,92,4.65,5.72,1,4,0,0,0,0,0,1,0,0
2342,7075,2,33,6,690,125,5.359999999999999,4.72,0,4,0,0,0,0,0,1,0,0
2352,8103,1,18,8,92,144,9.879999999999999,7.109999999999999,0,1,0,0,1,0,0,0,0,0
2367,6261,1,30,15,37,77,3.5199999999999996,2.7700000000000005,0,7,0,0,0,0,1,0,0,0
2378,6126,2,50,9,70,63,3.2899999999999996,3.5499999999999994,0,5,0,0,0,0,0,0,1,0
2397,10983,1,28,16,375,211,2.93,2.6099999999999994,0,1,0,0,1,0,0,0,0,0
2398,3437,2,55,31,243,138,6.69,8.23,0,2,0,0,0,1,0,0,0,0
2402,552,2,40,3,6524,223,17.150000000000006,15.399999999999999,0,4,0,0,0,0,0,1,0,0
2408,9137,2,27,18,25,779,27.489999999999995,16.159999999999997,0,7,0,0,0,0,1,0,0,0
2412,5427,1,32,26,85,188,15.829999999999998,13.229999999999999,0,3,0,1,0,0,0,0,0,0
2460,482,1,80,14,198,108,5.889999999999998,5.369999999999998,0,1,0,0,1,0,0,0,0,0
2461,5681,2,53,16,78,139,7.21,10,0,7,0,0,0,0,1,0,0,0
2462,10205,2,18,15,8,42,5.15,4.699999999999999,0,8,0,0,0,0,0,0,0,1
2473,545,2,35,11,86,85,5.7,5.209999999999998,0,5,0,0,0,0,0,0,1,0
2508,4033,1,30,15,128,83,3.3,2.4399999999999995,0,5,0,0,0,0,0,0,1,0
2517,1333,1,20,19,279,96,6.449999999999999,7.849999999999999,0,7,0,0,0,0,1,0,0,0
2520,8512,2,21,13,73,168,9.920000000000002,6.889999999999999,0,8,0,0,0,0,0,0,0,1
2554,166,1,20,1,110,98,5,4.76,1,4,0,0,0,0,0,1,0,0
2566,8293,2,30,27,92,78,6.3599999999999985,5.300000000000001,0,2,0,0,0,1,0,0,0,0
2592,9243,2,27,15,114,171,12.089999999999998,9.729999999999999,0,5,0,0,0,0,0,0,1,0
2600,11340,1,32,19,327,127,7.5699999999999985,8.649999999999999,0,3,0,1,0,0,0,0,0,0
2613,9865,1,35,14,189,111,6.419999999999999,5.699999999999999,0,5,0,0,0,0,0,0,1,0
2632,7490,1,57,14,90,90,4.6499999999999995,4.249999999999999,0,1,0,0,1,0,0,0,0,0
2684,3165,2,50,9,145,210,8.629999999999999,6.999999999999999,0,8,0,0,0,0,0,0,0,1
2711,5595,1,22,15,185,199,13.379999999999999,13.28,0,5,0,0,0,0,0,0,1,0
2768,209,2,21,17,210,95,6.57,7.3500000000000005,0,5,0,0,0,0,0,0,1,0
2774,1729,2,28,22,33,150,9.570000000000002,7.08,0,6,1,0,0,0,0,0,0,0
2783,8255,2,22,26,67,108,6.109999999999999,8.22,0,4,0,0,0,0,0,1,0,0
2810,8076,2,45,31,22,66,4.01,4.46,0,4,0,0,0,0,0,1,0,0
2823,7051,2,60,24,79,89,5.9799999999999995,4.170000000000001,0,8,0,0,0,0,0,0,0,1
2832,7951,2,36,25,312,181,13.29,8.879999999999999,0,6,1,0,0,0,0,0,0,0
2835,5712,1,28,22,53,106,11.86,17.99,0,7,0,0,0,0,1,0,0,0
2846,4454,1,62,22,114,138,11.01,8.939999999999998,0,3,0,1,0,0,0,0,0,0
2850,66,2,57,18,134,118,5.52,5.05,0,8,0,0,0,0,0,0,0,1
2865,1977,1,60,28,392,170,13.57,5.33,0,1,0,0,1,0,0,0,0,0
2872,8653,2,28,25,163,47,1.58,0.98,0,2,0,0,0,1,0,0,0,0
2879,4406,2,35,17,48,66,5.21,4.42,0,1,0,0,1,0,0,0,0,0
2890,5918,2,35,22,45,162,9.219999999999997,6.979999999999999,0,3,0,1,0,0,0,0,0,0
2904,3315,2,30,13,125,89,5.789999999999999,7.279999999999999,0,5,0,0,0,0,0,0,1,0
2951,9595,1,18,30,132,87,4.909999999999999,5.72,0,4,0,0,0,0,0,1,0,0
2959,9066,2,55,17,174,128,8.47,4.559999999999999,0,7,0,0,0,0,1,0,0,0
2969,10693,2,60,25,33,50,3.76,2.439999999999999,0,6,1,0,0,0,0,0,0,0
2973,293,1,70,25,126,148,10.04,10.239999999999997,0,3,0,1,0,0,0,0,0,0
2996,1262,2,19,16,91,128,10.000000000000002,9.37,0,7,0,0,0,0,1,0,0,0
3005,11126,2,46,19,192,75,2.45,1.7100000000000002,0,5,0,0,0,0,0,0,1,0
3060,4917,1,30,15,132,123,8.029999999999998,8.49,0,5,0,0,0,0,0,0,1,0
3061,6783,2,38,11,256,114,3.9400000000000004,4.109999999999999,0,2,0,0,0,1,0,0,0,0
3067,3716,1,60,29,184,333,18.02,11.43,0,3,0,1,0,0,0,0,0,0
3123,2175,2,46,26,85,156,12.549999999999999,7.199999999999999,0,7,0,0,0,0,1,0,0,0
3138,9769,2,40,6,16,76,5.369999999999999,6.1899999999999995,0,4,0,0,0,0,0,1,0,0
3141,9981,1,23,16,972,410,20.160000000000004,12.56,0,7,0,0,0,0,1,0,0,0
3145,5618,1,25,30,97,162,6.329999999999999,7.55,0,4,0,0,0,0,0,1,0,0
3152,5823,2,22,12,92,264,12.37,7.309999999999999,0,7,0,0,0,0,1,0,0,0
3163,10385,2,38,10,77,72,4.449999999999999,5,0,1,0,0,1,0,0,0,0,0
3188,4454,1,33,22,61,94,7.92,7.21,0,3,0,1,0,0,0,0,0,0
3200,9900,2,32,10,99,148,5.760000000000001,5.729999999999998,0,1,0,0,1,0,0,0,0,0
3210,7008,2,22,9,69,123,9.479999999999999,5.669999999999999,0,6,1,0,0,0,0,0,0,0
3216,138,1,32,2,111,159,9.3,10.169999999999998,0,4,0,0,0,0,0,1,0,0
3243,4764,1,35,24,62,72,4.329999999999999,3.8200000000000003,0,3,0,1,0,0,0,0,0,0
3261,494,1,30,5,139,160,5.009999999999999,5.01,0,4,0,0,0,0,0,1,0,0
3297,4785,2,26,15,56,160,10.239999999999998,8.919999999999998,0,5,0,0,0,0,0,0,1,0
3305,135,2,25,22,22,121,4.61,5.9,0,4,0,0,0,0,0,1,0,0
3311,10882,2,19,29,104,94,6.75,6.130000000000001,0,5,0,0,0,0,0,0,1,0
3320,4955,2,35,17,27,164,8.64,6.8599999999999985,0,5,0,0,0,0,0,0,1,0
3339,3718,2,20,3,228,122,6.58,6.6,0,4,0,0,0,0,0,1,0,0
3344,5062,2,75,9,130,73,4.35,3.6599999999999993,0,2,0,0,0,1,0,0,0,0
3349,1049,2,55,29,172,184,7.8199999999999985,7.840000000000001,0,4,0,0,0,0,0,1,0,0
3352,4224,2,21,21,30,131,7.51,8.26,0,3,0,1,0,0,0,0,0,0
3364,11438,1,33,13,86,254,18.84,12.04,0,5,0,0,0,0,0,0,1,0
3377,8900,1,35,30,193,89,5.93,8.29,0,4,0,0,0,0,0,1,0,0
3391,10841,2,31,18,10,48,6.77,4.989999999999999,0,3,0,1,0,0,0,0,0,0
3414,9336,1,32,19,115,24,0.78,0.27,0,3,0,1,0,0,0,0,0,0
3423,1198,2,56,27,51,185,6.42,5.64,0,4,0,0,0,0,0,1,0,0
3463,11280,1,55,16,184,192,8.09,7.15,0,8,0,0,0,0,0,0,0,1
3490,11290,2,28,20,62,53,7.9799999999999995,6.52,0,7,0,0,0,0,1,0,0,0
3507,1633,2,60,22,12,69,3.8099999999999996,3.73,0,3,0,1,0,0,0,0,0,0
3550,7870,1,30,13,14,169,9.18,9.81,0,5,0,0,0,0,0,0,1,0
3557,360,1,18,12,372,147,9.3,10.459999999999999,0,5,0,0,0,0,0,0,1,0
3565,5166,1,50,24,2,52,3.8899999999999997,3.56,0,1,0,0,1,0,0,0,0,0
3577,4262,2,46,20,41,128,5.13,4.31,0,8,0,0,0,0,0,0,0,1
3582,1070,2,45,27,163,109,10.409999999999998,7.489999999999998,0,1,0,0,1,0,0,0,0,0
3596,4454,1,20,22,71,110,7.949999999999999,7.679999999999999,0,3,0,1,0,0,0,0,0,0
3614,5031,2,25,14,79,102,5.779999999999999,5.6499999999999995,0,1,0,0,1,0,0,0,0,0
3629,4706,2,58,24,155,118,6.139999999999999,5.3999999999999995,0,6,1,0,0,0,0,0,0,0
3634,1503,1,60,12,153,75,5.87,6.219999999999999,0,1,0,0,1,0,0,0,0,0
3643,4179,1,27,14,118,165,8.3,10.469999999999999,0,7,0,0,0,0,1,0,0,0
3646,11119,2,45,5,174,101,6.619999999999999,6.779999999999999,0,4,0,0,0,0,0,1,0,0
3659,6491,1,55,27,14,108,5.359999999999999,6.089999999999999,0,4,0,0,0,0,0,1,0,0
3675,10937,1,26,27,23,111,30.6,8.57,0,6,1,0,0,0,0,0,0,0
3691,2157,1,63,25,51,83,6.11,4.909999999999998,0,5,0,0,0,0,0,0,1,0
3709,9373,1,22,27,7,95,8.19,6.2299999999999995,0,6,1,0,0,0,0,0,0,0
3726,4237,1,45,28,136,190,11.87,12.439999999999998,0,5,0,0,0,0,0,0,1,0
3730,7595,1,36,17,67,76,7.92,4.5600000000000005,0,3,0,1,0,0,0,0,0,0
3740,3444,2,40,7,287,175,6.46,8.049999999999999,1,2,0,0,0,1,0,0,0,0
3774,4179,2,23,14,118,159,7.909999999999999,9.43,0,7,0,0,0,0,1,0,0,0
3781,10702,2,30,17,15,87,7.319999999999999,6.0299999999999985,0,5,0,0,0,0,0,0,1,0
3783,11308,2,22,18,26,150,6.89,6.32,0,7,0,0,0,0,1,0,0,0
3838,8555,2,48,26,56,58,2.59,2.9499999999999997,0,6,1,0,0,0,0,0,0,0
3839,301,1,58,16,157,144,5.32,5.67,0,1,0,0,1,0,0,0,0,0
3846,3710,1,50,23,2703,230,19.069999999999997,13.409999999999998,0,6,1,0,0,0,0,0,0,0
3865,1049,2,21,29,139,147,5.789999999999999,5.869999999999999,0,4,0,0,0,0,0,1,0,0
3870,10087,1,19,7,60,63,3.1199999999999997,4.109999999999999,1,2,0,0,0,1,0,0,0,0
3900,5667,1,26,16,259,188,8.52,7.699999999999998,0,3,0,1,0,0,0,0,0,0
3908,10349,2,30,31,97,126,6.63,7.06,0,4,0,0,0,0,0,1,0,0
3912,66,1,39,18,20,59,4.109999999999999,4.199999999999999,0,8,0,0,0,0,0,0,0,1
3961,188,2,37,19,106,79,4.56,2.8299999999999996,0,5,0,0,0,0,0,0,1,0
3973,6860,2,34,24,110,113,8.990000000000002,7.959999999999998,0,6,1,0,0,0,0,0,0,0
3988,49,2,28,11,10,76,5.8500000000000005,4.38,0,2,0,0,0,1,0,0,0,0
4002,6168,1,35,18,18,52,4.96,5.14,0,7,0,0,0,0,1,0,0,0
4017,2066,2,50,22,73,189,11.479999999999999,10.370000000000001,0,8,0,0,0,0,0,0,0,1
4094,9114,2,19,29,82,194,8.219999999999999,7.140000000000001,0,2,0,0,0,1,0,0,0,0
4096,7319,1,70,25,135,56,4.25,3.3899999999999997,0,5,0,0,0,0,0,0,1,0
4108,1561,1,60,9,14,57,3.35,3.7199999999999993,0,8,0,0,0,0,0,0,0,1
4110,1633,2,40,22,13,77,4.199999999999999,4.04,0,3,0,1,0,0,0,0,0,0
4126,1825,2,25,7,59,142,7.039999999999999,9.17,1,8,0,0,0,0,0,0,0,1
4142,2535,1,38,17,190,102,6.489999999999998,4.1499999999999995,0,5,0,0,0,0,0,0,1,0
4144,20,1,38,28,58,159,10.07,9.259999999999998,0,1,0,0,1,0,0,0,0,0
4156,3772,2,40,13,72,83,5.519999999999999,6.129999999999999,0,2,0,0,0,1,0,0,0,0
4162,11862,2,19,29,417,157,8.27,5.390000000000001,0,2,0,0,0,1,0,0,0,0
