SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_4,adm2_11,adm2_10,adm2_2,adm2_7,adm2_14,adm2_9,adm2_15,adm2_3,adm2_13,adm2_12,adm2_5,adm2_8,adm2_6,adm2_1
4994,6398,1,20,15,1438,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5121,11058,1,38,13,2063,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5261,10911,1,30,15,2388,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5267,4639,1,35,13,2368,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5270,7708,1,21,25,2595,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5274,5080,1,43,12,3001,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5305,2346,1,25,17,1967,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5351,418,1,48,25,1654,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5368,10318,1,52,6,2076,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5408,2688,1,27,18,1917,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5459,3721,1,75,8,2787,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5568,8041,1,19,11,1397,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5625,8222,1,28,23,1543,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5700,5754,1,59,18,1754,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5728,24,1,35,5,834,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5747,11542,1,55,15,2717,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5762,10257,1,60,2,2478,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5807,9827,1,98,29,2928,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5861,6248,1,38,10,2099,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5886,1364,1,54,6,3001,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6113,9126,1,55,17,854,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6117,7103,1,52,13,1979,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6173,3497,1,35,6,3622,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6180,8674,1,48,22,2238,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6208,1163,1,46,18,2382,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6211,7615,1,49,2,2551,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6239,3975,1,60,17,1875,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6243,7479,1,26,5,1715,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6244,5988,1,42,27,1706,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6247,6628,1,55,29,1238,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6268,7465,1,64,3,1688,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6289,10521,1,40,21,1242,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6313,2377,1,18,28,1109,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6436,10692,1,65,5,1665,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6505,11193,1,21,23,1933,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6511,6654,1,60,24,1661,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6621,7278,1,29,21,2513,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6628,6650,1,30,27,934,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6638,10102,1,49,29,2087,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6752,8209,1,60,12,2431,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6779,165,1,19,3,1969,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6805,7045,1,60,21,1560,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6851,4375,1,25,11,996,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6882,3070,1,39,14,1304,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6967,7369,1,47,27,2171,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6983,11199,1,42,24,1554,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7021,3632,1,32,5,2229,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7137,3794,1,22,17,2085,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7153,1911,1,45,10,2650,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7160,546,1,55,27,1387,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7210,2554,1,40,23,1943,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7275,6259,1,55,31,1853,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7289,10407,1,52,3,1264,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7301,2366,1,56,17,1974,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7332,4813,1,33,1,1987,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7362,7880,1,33,30,550,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7513,392,1,21,24,2110,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7525,5133,1,60,8,1836,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7542,10103,1,30,9,1833,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7564,2068,1,40,10,1786,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7572,6004,1,70,4,1512,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7655,4392,1,59,18,2235,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7674,10144,1,63,1,1541,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7742,9842,1,18,5,853,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7784,10764,1,60,2,1857,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7819,10081,1,52,12,2230,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7856,1298,1,37,24,3433,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7857,8408,1,23,2,1668,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7877,2200,1,45,13,1925,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7891,10163,1,29,2,2317,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7922,10971,1,67,10,2562,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7990,4786,1,77,10,2186,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8109,3401,1,39,31,1889,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8136,9192,1,24,18,990,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8222,10031,1,63,28,2336,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8226,4375,1,75,11,2740,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8313,10973,1,32,10,2693,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8471,6856,1,36,27,2154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8516,2847,1,62,6,1847,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8533,3255,1,20,1,1085,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8541,8760,1,39,25,2756,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8601,2293,1,55,6,2808,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8612,6735,1,70,26,1461,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8614,4141,1,18,1,1018,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8623,1989,1,32,13,1433,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8624,4599,1,36,30,1213,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8630,2498,1,52,26,1249,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8664,8608,1,26,4,2038,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8669,246,1,65,22,2093,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8700,11090,1,45,2,1869,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8701,8086,1,31,6,1099,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8714,11706,1,18,24,850,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8736,9133,1,56,26,1791,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8831,2958,1,24,18,2695,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8846,743,1,46,29,1504,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8862,5981,1,70,6,1877,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8869,10042,1,68,29,1009,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8878,2077,1,64,6,1607,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8921,5760,1,40,16,703,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9012,6086,1,57,10,1683,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9117,6130,1,35,8,2693,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9238,4774,1,36,3,1492,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
