SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_5,adm2_7,adm2_2,adm2_4,adm2_6
2024,4184,1,45,18,5,122,10.979999999999999,7.129999999999998,0,0,5,0,0,0,0,1,0,0,0,0
2026,1882,1,55,28,10,93,9.249999999999998,6.229999999999999,0.1791,0,4,0,0,0,0,0,0,0,1,0
2053,9159,1,45,25,30,134,14.450000000000001,10.33,0,0,1,0,0,1,0,0,0,0,0,0
2082,8419,1,40,19,11,96,7.3,4.3999999999999995,0,0,3,0,1,0,0,0,0,0,0,0
2086,6329,1,60,9,2,116,47.79,9.989999999999998,0,0,7,0,0,0,0,0,1,0,0,0
2088,9091,1,32,27,20,161,15.16,10.41,0.8981999999999999,0,6,0,0,0,0,0,0,0,0,1
2129,10829,1,20,13,23,231,16.779999999999998,9.549999999999999,4.08,0,8,0,0,0,1,0,0,0,0,0
2171,10394,1,58,7,553,357,19.46,12.73,0.243,1,8,0,0,0,1,0,0,0,0,0
2195,3385,1,18,10,11,150,10.469999999999999,7.809999999999999,0.28800000000000003,0,4,0,0,0,0,0,0,0,1,0
2239,6148,1,45,3,48,94,11,8.959999999999997,0,0,8,0,0,0,1,0,0,0,0,0
2298,1705,1,38,4,42,218,11.68,9.360000000000001,0.1728,0,5,0,0,0,0,1,0,0,0,0
2446,80,1,50,10,5,822,6.91,4.999999999999999,1.8095,0,8,0,0,0,1,0,0,0,0,0
2449,11549,1,38,18,11,139,13.900000000000002,9.770000000000001,0,0,5,0,0,0,0,1,0,0,0,0
2496,2646,1,60,23,13,113,11.82,9.030000000000001,0,0,4,0,0,0,0,0,0,0,1,0
2521,2285,1,43,10,235,283,15.35,10.13,0,0,2,0,0,0,0,0,0,1,0,0
2544,7724,1,56,1,23,235,17.040000000000003,10.679999999999998,0.34380000000000005,1,1,0,0,1,0,0,0,0,0,0
2623,4550,1,18,29,122,54,2.67,1.71,0.4203,0,6,0,0,0,0,0,0,0,0,1
2683,8424,1,50,19,95,241,19.86,14.409999999999998,2.115,0,3,0,1,0,0,0,0,0,0,0
2698,1888,1,24,7,58,153,13.679999999999998,9.629999999999997,0.6129,1,8,0,0,0,1,0,0,0,0,0
2817,11048,1,23,8,14,144,13.299999999999999,9.35,0,0,8,0,0,0,1,0,0,0,0,0
2881,2856,1,35,25,8,118,8.67,6.969999999999999,0,0,6,0,0,0,0,0,0,0,0,1
2883,1157,1,72,21,48,165,17.349999999999998,11.289999999999997,0.4968000000000001,0,8,0,0,0,1,0,0,0,0,0
2885,6397,1,60,18,17,215,16.95,12.57,1.125,0,5,0,0,0,0,1,0,0,0,0
2929,6933,1,42,4,4,161,14.99,10.33,0,0,8,0,0,0,1,0,0,0,0,0
2947,6931,1,45,5,5,167,19.26,13.379999999999999,0,0,9,1,0,0,0,0,0,0,0,0
2967,1147,1,26,27,23,178,14.08,8.739999999999998,0,0,1,0,0,1,0,0,0,0,0,0
3035,7367,1,40,3,48,167,15.55,10.379999999999999,0.45,0,7,0,0,0,0,0,1,0,0,0
3043,11733,1,23,8,7,151,14.06,8.249999999999998,0.6803999999999999,0,4,0,0,0,0,0,0,0,1,0
3091,684,1,22,22,20,125,8.79,5.32,0,0,6,0,0,0,0,0,0,0,0,1
3153,3807,1,38,30,14,151,11.26,9.219999999999999,0,0,1,0,0,1,0,0,0,0,0,0
3196,5357,1,18,31,85,209,17.94,10.8,0.1791,0,7,0,0,0,0,0,1,0,0,0
3202,11803,1,20,6,31,143,17.159999999999997,10.869999999999997,0.34380000000000005,0,4,0,0,0,0,0,0,0,1,0
3390,10119,1,35,14,94,322,25.26,16.779999999999998,0,0,8,0,0,0,1,0,0,0,0,0
3429,6378,1,25,6,128,90,4.12,2.1199999999999997,0.3753,0,7,0,0,0,0,0,1,0,0,0
3549,10065,1,28,18,7,196,18.31,13.709999999999999,0,0,5,0,0,0,0,1,0,0,0,0
3560,2898,1,18,24,10,166,15.11,9.99,0,0,2,0,0,0,0,0,0,1,0,0
3571,5446,1,27,30,1,126,14.420000000000002,9.97,0,0,1,0,0,1,0,0,0,0,0,0
3586,4958,1,27,18,55,122,11.78,8.079999999999998,0.6849,0,9,1,0,0,0,0,0,0,0,0
3598,4114,1,45,15,7,31,2.25,1.2900000000000003,0,0,8,0,0,0,1,0,0,0,0,0
3602,1626,1,40,27,7,125,15.27,10.459999999999999,0,0,4,0,0,0,0,0,0,0,1,0
3615,1297,1,20,11,7,68,5.449999999999999,3.4499999999999997,0,0,2,0,0,0,0,0,0,1,0,0
3682,8678,1,40,21,6,517,47.589999999999996,34.26,0,0,9,1,0,0,0,0,0,0,0,0
3692,762,1,55,12,27,181,18.16,14.169999999999998,0.1044,0,4,0,0,0,0,0,0,0,1,0
3696,10347,1,65,30,77,164,7.5200000000000005,6.94,0,0,4,0,0,0,0,0,0,0,1,0
3704,10165,1,49,9,2,109,12.27,9.37,0,0,8,0,0,0,1,0,0,0,0,0
3728,10134,1,61,12,96,203,20.71,14.209999999999997,0,0,8,0,0,0,1,0,0,0,0,0
3747,925,1,34,13,537,244,26.82,19.8,0.4448,0,2,0,0,0,0,0,0,1,0,0
3803,3241,1,36,8,28,201,18.03,13.540000000000001,0.3069,0,9,1,0,0,0,0,0,0,0,0
3856,8866,1,32,23,118,135,13.29,9.01,1.4724,0,1,0,0,1,0,0,0,0,0,0
3878,326,1,25,18,13,62,13.439999999999998,6.159999999999999,0,0,9,1,0,0,0,0,0,0,0,0
4013,1260,1,25,27,1,132,10.390000000000002,8.83,1.8,0,3,0,1,0,0,0,0,0,0,0
4034,10829,1,45,13,18,201,14.39,8.5,3.9299999999999997,0,8,0,0,0,1,0,0,0,0,0
4040,7919,1,38,23,24,81,9.45,6.3500000000000005,0,0,5,0,0,0,0,1,0,0,0,0
4042,2336,1,45,19,11,127,12.870000000000003,9.309999999999999,0,0,3,0,1,0,0,0,0,0,0,0
4076,6425,1,40,2,86,231,27.57,18.51000000000001,0.4365,0,7,0,0,0,0,0,1,0,0,0
4172,2728,1,30,29,42,316,32.8,22.810000000000006,0,0,5,0,0,0,0,1,0,0,0,0
4237,7895,1,30,18,15,308,26,18.76,0.36,0,1,0,0,1,0,0,0,0,0,0
4294,6619,1,42,21,118,222,19.900000000000002,10.72,0.5121,0,3,0,1,0,0,0,0,0,0,0
4295,4384,1,65,23,25,124,13.420000000000002,9.439999999999998,0,0,2,0,0,0,0,0,0,1,0,0
