SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_3,adm2_8,adm2_11,adm2_6,adm2_9,adm2_2,adm2_4,adm2_1,adm2_10,adm2_7,adm2_5
2060,3350,1,75,14,NA,NA,1615,0,10,0,0,0,0,0,0,0,0,1,0,0
2061,4396,1,60,26,NA,NA,1571,0,4,0,0,0,0,0,0,1,0,0,0,0
2072,10129,1,55,15,NA,NA,1859,0,11,0,0,1,0,0,0,0,0,0,0,0
2083,7897,1,60,12,NA,NA,2012,0,10,0,0,0,0,0,0,0,0,1,0,0
2160,3087,1,77,20,NA,NA,556,0,9,0,0,0,0,1,0,0,0,0,0,0
2169,97,1,30,2,NA,NA,1447,0,2,0,0,0,0,0,1,0,0,0,0,0
2182,9660,1,55,20,NA,NA,2342,0,11,0,0,1,0,0,0,0,0,0,0,0
2208,926,1,25,12,NA,NA,1906,0,10,0,0,0,0,0,0,0,0,1,0,0
2261,4944,1,20,21,NA,NA,1055,0,1,0,0,0,0,0,0,0,1,0,0,0
2267,6132,1,59,10,NA,NA,1326,0,1,0,0,0,0,0,0,0,1,0,0,0
2321,3932,1,41,26,NA,NA,2337,0,1,0,0,0,0,0,0,0,1,0,0,0
2357,8911,1,29,15,NA,NA,793,0,8,0,1,0,0,0,0,0,0,0,0,0
2396,2319,1,55,5,NA,NA,2154,0,6,0,0,0,1,0,0,0,0,0,0,0
2421,3847,1,35,23,NA,NA,1035,0,7,0,0,0,0,0,0,0,0,0,1,0
2452,9419,1,45,27,NA,NA,1530,0,6,0,0,0,1,0,0,0,0,0,0,0
2503,8057,1,42,15,NA,NA,1761,0,5,0,0,0,0,0,0,0,0,0,0,1
2533,6519,1,38,18,NA,NA,813,0,3,1,0,0,0,0,0,0,0,0,0,0
2542,8765,1,27,24,NA,NA,1287,0,11,0,0,1,0,0,0,0,0,0,0,0
2578,8085,1,56,5,NA,NA,1828,0,3,1,0,0,0,0,0,0,0,0,0,0
2626,7992,1,22,18,NA,NA,1710,0,8,0,1,0,0,0,0,0,0,0,0,0
2672,8645,1,63,15,NA,NA,1907,0,3,1,0,0,0,0,0,0,0,0,0,0
2686,11366,1,51,17,NA,NA,2049,0,3,1,0,0,0,0,0,0,0,0,0,0
2712,7279,1,72,15,NA,NA,838,0,8,0,1,0,0,0,0,0,0,0,0,0
2722,11525,1,39,18,NA,NA,1808,0,7,0,0,0,0,0,0,0,0,0,1,0
2749,11898,1,34,30,NA,NA,1321,0,2,0,0,0,0,0,1,0,0,0,0,0
2824,4821,1,25,18,NA,NA,1425,0,6,0,0,0,1,0,0,0,0,0,0,0
2833,4972,1,18,26,NA,NA,1537,0,6,0,0,0,1,0,0,0,0,0,0,0
2873,9990,1,33,15,NA,NA,1186,0,1,0,0,0,0,0,0,0,1,0,0,0
2911,4972,1,22,26,NA,NA,1606,0,6,0,0,0,1,0,0,0,0,0,0,0
2925,10787,1,72,20,NA,NA,1160,0,2,0,0,0,0,0,1,0,0,0,0,0
2926,11232,1,63,26,NA,NA,1698,0,6,0,0,0,1,0,0,0,0,0,0,0
2927,1969,1,19,21,NA,NA,1817,0,9,0,0,0,0,1,0,0,0,0,0,0
2982,4298,1,33,22,NA,NA,3027,0,6,0,0,0,1,0,0,0,0,0,0,0
2995,6604,1,29,5,NA,NA,2843,0,3,1,0,0,0,0,0,0,0,0,0,0
2997,1294,1,67,20,NA,NA,1837,0,10,0,0,0,0,0,0,0,0,1,0,0
3158,3091,1,41,12,NA,NA,1780,0,1,0,0,0,0,0,0,0,1,0,0,0
3168,2263,1,58,23,NA,NA,2237,0,6,0,0,0,1,0,0,0,0,0,0,0
3199,6890,1,18,24,NA,NA,1885,0,4,0,0,0,0,0,0,1,0,0,0,0
3235,1477,1,48,16,NA,NA,830,0,7,0,0,0,0,0,0,0,0,0,1,0
3246,2024,1,33,12,NA,NA,1595,0,1,0,0,0,0,0,0,0,1,0,0,0
3248,4273,1,68,24,NA,NA,1942,0,4,0,0,0,0,0,0,1,0,0,0,0
3276,3678,1,58,23,NA,NA,2185,0,7,0,0,0,0,0,0,0,0,0,1,0
3281,58,1,54,19,NA,NA,1854,0,10,0,0,0,0,0,0,0,0,1,0,0
3302,2359,1,58,15,NA,NA,1639,0,5,0,0,0,0,0,0,0,0,0,0,1
3406,7475,1,77,14,NA,NA,630,0,4,0,0,0,0,0,0,1,0,0,0,0
3459,7632,1,60,4,NA,NA,1705,0,6,0,0,0,1,0,0,0,0,0,0,0
3466,2237,1,27,13,NA,NA,3552,0,5,0,0,0,0,0,0,0,0,0,0,1
3537,11204,1,39,16,NA,NA,1700,0,4,0,0,0,0,0,0,1,0,0,0,0
3541,11072,1,39,23,NA,NA,2632,0,8,0,1,0,0,0,0,0,0,0,0,0
3630,9328,1,54,26,NA,NA,800,0,4,0,0,0,0,0,0,1,0,0,0,0
3631,7540,1,53,14,NA,NA,1340,0,3,1,0,0,0,0,0,0,0,0,0,0
3652,8208,1,48,16,NA,NA,2329,0,5,0,0,0,0,0,0,0,0,0,0,1
3662,11241,1,45,22,NA,NA,846,0,6,0,0,0,1,0,0,0,0,0,0,0
3705,11781,1,23,18,NA,NA,1483,0,9,0,0,0,0,1,0,0,0,0,0,0
3710,8192,1,68,25,NA,NA,1229,0,7,0,0,0,0,0,0,0,0,0,1,0
3739,8769,1,64,9,NA,NA,1798,0,6,0,0,0,1,0,0,0,0,0,0,0
3741,11271,1,32,27,NA,NA,1224,0,4,0,0,0,0,0,0,1,0,0,0,0
3797,3449,1,55,30,NA,NA,2510,0,2,0,0,0,0,0,1,0,0,0,0,0
3809,6331,1,70,14,NA,NA,1411,0,5,0,0,0,0,0,0,0,0,0,0,1
3840,10045,1,20,22,NA,NA,1475,0,8,0,1,0,0,0,0,0,0,0,0,0
3886,3871,1,50,17,NA,NA,1800,0,11,0,0,1,0,0,0,0,0,0,0,0
3895,4023,1,24,18,NA,NA,1288,0,6,0,0,0,1,0,0,0,0,0,0,0
4006,862,1,36,14,NA,NA,1483,0,10,0,0,0,0,0,0,0,0,1,0,0
4085,8607,1,38,17,NA,NA,1365,0,1,0,0,0,0,0,0,0,1,0,0,0
4189,9376,1,18,22,NA,NA,1980,0,7,0,0,0,0,0,0,0,0,0,1,0
4277,776,1,42,8,NA,NA,2630,0,10,0,0,0,0,0,0,0,0,1,0,0
