SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_3,adm2_8,adm2_11,adm2_6,adm2_9,adm2_2,adm2_4,adm2_1,adm2_10,adm2_7,adm2_5
19824,8840,1,45,7,1898,1,3,1,0,0,0,0,0,0,0,0,0,0
19884,11766,1,21,27,1331,0,6,0,0,0,1,0,0,0,0,0,0,0
19932,6576,1,34,19,1778,0,11,0,0,1,0,0,0,0,0,0,0,0
20014,11006,1,40,15,1358,0,5,0,0,0,0,0,0,0,0,0,0,1
20119,8962,1,85,25,1508,0,10,0,0,0,0,0,0,0,0,1,0,0
20147,6106,1,19,9,1328,0,6,0,0,0,1,0,0,0,0,0,0,0
20150,9130,1,36,17,2211,0,11,0,0,1,0,0,0,0,0,0,0,0
20159,10744,1,44,24,2609,0,7,0,0,0,0,0,0,0,0,0,1,0
20283,7616,1,26,16,1615,0,3,1,0,0,0,0,0,0,0,0,0,0
20285,1765,1,46,16,1551,0,4,0,0,0,0,0,0,1,0,0,0,0
20379,8570,1,76,20,1531,0,9,0,0,0,0,1,0,0,0,0,0,0
20413,9950,1,33,23,2169,0,8,0,1,0,0,0,0,0,0,0,0,0
20426,10461,1,42,25,1710,0,1,0,0,0,0,0,0,0,1,0,0,0
20459,6722,1,28,22,1681,0,8,0,1,0,0,0,0,0,0,0,0,0
20497,5509,1,45,25,887,0,7,0,0,0,0,0,0,0,0,0,1,0
20530,6637,1,20,15,1065,0,11,0,0,1,0,0,0,0,0,0,0,0
20582,10965,1,40,18,1712,0,1,0,0,0,0,0,0,0,1,0,0,0
20592,9109,1,50,18,2756,0,2,0,0,0,0,0,1,0,0,0,0,0
20673,6508,1,71,23,1659,0,7,0,0,0,0,0,0,0,0,0,1,0
20696,4751,1,32,17,2436,0,10,0,0,0,0,0,0,0,0,1,0,0
20728,5517,1,73,28,1711,0,10,0,0,0,0,0,0,0,0,1,0,0
20865,1313,1,51,20,2211,0,11,0,0,1,0,0,0,0,0,0,0,0
20891,2208,1,18,27,2288,0,6,0,0,0,1,0,0,0,0,0,0,0
20955,1687,1,53,10,1965,0,1,0,0,0,0,0,0,0,1,0,0,0
20984,297,1,23,5,1722,0,3,1,0,0,0,0,0,0,0,0,0,0
21018,10796,1,54,20,1521,0,2,0,0,0,0,0,1,0,0,0,0,0
21033,8622,1,45,9,558,0,1,0,0,0,0,0,0,0,1,0,0,0
21171,2556,1,48,15,1265,0,8,0,1,0,0,0,0,0,0,0,0,0
21185,1229,1,44,24,894,0,8,0,1,0,0,0,0,0,0,0,0,0
21202,10995,1,68,15,1580,0,11,0,0,1,0,0,0,0,0,0,0,0
21203,9558,1,63,19,873,0,11,0,0,1,0,0,0,0,0,0,0,0
21208,4916,1,35,5,2626,0,3,1,0,0,0,0,0,0,0,0,0,0
21328,7893,1,35,8,1902,0,10,0,0,0,0,0,0,0,0,1,0,0
21340,3266,1,47,25,1683,0,9,0,0,0,0,1,0,0,0,0,0,0
21380,3175,1,57,26,2041,0,6,0,0,0,1,0,0,0,0,0,0,0
21388,1690,1,22,9,1353,0,6,0,0,0,1,0,0,0,0,0,0,0
21447,11856,1,65,19,2183,0,5,0,0,0,0,0,0,0,0,0,0,1
21451,11226,1,58,22,1570,0,8,0,1,0,0,0,0,0,0,0,0,0
21476,8633,1,21,20,1689,0,5,0,0,0,0,0,0,0,0,0,0,1
21486,1995,1,46,10,1070,0,1,0,0,0,0,0,0,0,1,0,0,0
21550,6328,1,55,12,1781,0,8,0,1,0,0,0,0,0,0,0,0,0
21556,11765,1,40,18,1713,0,2,0,0,0,0,0,1,0,0,0,0,0
21568,2072,1,20,20,2277,0,9,0,0,0,0,1,0,0,0,0,0,0
21590,9376,1,52,22,2190,0,7,0,0,0,0,0,0,0,0,0,1,0
21688,1499,1,23,26,1229,0,4,0,0,0,0,0,0,1,0,0,0,0
21853,11001,1,58,19,1140,0,11,0,0,1,0,0,0,0,0,0,0,0
21863,1762,1,53,17,1117,0,11,0,0,1,0,0,0,0,0,0,0,0
21866,4695,1,35,18,1191,0,2,0,0,0,0,0,1,0,0,0,0,0
21967,11759,1,47,18,2332,0,2,0,0,0,0,0,1,0,0,0,0,0
22004,4246,1,46,16,978,0,8,0,1,0,0,0,0,0,0,0,0,0
22034,2671,1,40,24,1600,0,11,0,0,1,0,0,0,0,0,0,0,0
22149,8696,1,39,23,2717,0,4,0,0,0,0,0,0,1,0,0,0,0
22156,9521,1,23,27,1927,0,7,0,0,0,0,0,0,0,0,0,1,0
22176,11594,1,30,8,795,0,6,0,0,0,1,0,0,0,0,0,0,0
22274,724,1,38,12,1758,0,1,0,0,0,0,0,0,0,1,0,0,0
22330,5851,1,18,16,1196,0,7,0,0,0,0,0,0,0,0,0,1,0
22354,9353,1,47,27,1441,0,10,0,0,0,0,0,0,0,0,1,0,0
22368,5483,1,26,22,1616,0,7,0,0,0,0,0,0,0,0,0,1,0
22369,1210,1,45,11,2354,0,1,0,0,0,0,0,0,0,1,0,0,0
22406,11007,1,28,29,1938,0,8,0,1,0,0,0,0,0,0,0,0,0
22416,2499,1,38,19,2335,0,11,0,0,1,0,0,0,0,0,0,0,0
22454,4950,1,27,20,823,0,9,0,0,0,0,1,0,0,0,0,0,0
22455,10689,1,62,17,2397,0,5,0,0,0,0,0,0,0,0,0,0,1
22500,2104,1,49,9,1258,0,6,0,0,0,1,0,0,0,0,0,0,0
22515,5640,1,55,19,1328,0,6,0,0,0,1,0,0,0,0,0,0,0
22536,1976,1,24,11,917,0,10,0,0,0,0,0,0,0,0,1,0,0
22574,7891,1,47,24,2286,0,9,0,0,0,0,1,0,0,0,0,0,0
22584,6001,1,39,19,2818,0,2,0,0,0,0,0,1,0,0,0,0,0
22600,6324,1,44,19,2043,0,11,0,0,1,0,0,0,0,0,0,0,0
22626,7692,1,42,17,2399,0,3,1,0,0,0,0,0,0,0,0,0,0
22638,7320,1,48,24,3023,0,7,0,0,0,0,0,0,0,0,0,1,0
22644,8382,1,62,19,721,0,11,0,0,1,0,0,0,0,0,0,0,0
22666,3703,1,42,20,1796,0,2,0,0,0,0,0,1,0,0,0,0,0
22778,1001,1,46,22,1699,0,6,0,0,0,1,0,0,0,0,0,0,0
22842,554,1,65,18,760,0,8,0,1,0,0,0,0,0,0,0,0,0
22844,2954,1,47,18,1351,0,1,0,0,0,0,0,0,0,1,0,0,0
22858,6139,1,28,22,919,0,6,0,0,0,1,0,0,0,0,0,0,0
22896,9134,1,60,30,1962,0,2,0,0,0,0,0,1,0,0,0,0,0
22898,11078,1,38,18,2043,0,8,0,1,0,0,0,0,0,0,0,0,0
22919,1630,1,88,10,1180,0,9,0,0,0,0,1,0,0,0,0,0,0
22980,6890,1,56,24,3154,0,4,0,0,0,0,0,0,1,0,0,0,0
23033,6576,1,64,19,1015,0,11,0,0,1,0,0,0,0,0,0,0,0
23057,3138,1,27,3,2264,0,3,1,0,0,0,0,0,0,0,0,0,0
23131,2402,1,26,8,1806,0,10,0,0,0,0,0,0,0,0,1,0,0
23169,3449,1,23,30,2741,0,2,0,0,0,0,0,1,0,0,0,0,0
23245,2229,1,82,20,911,0,2,0,0,0,0,0,1,0,0,0,0,0
23287,2168,1,74,8,762,0,10,0,0,0,0,0,0,0,0,1,0,0
23302,11745,1,19,14,1360,0,5,0,0,0,0,0,0,0,0,0,0,1
23312,11434,1,67,28,1395,0,1,0,0,0,0,0,0,0,1,0,0,0
23420,2172,1,66,4,2402,0,6,0,0,0,1,0,0,0,0,0,0,0
23506,2036,1,44,26,1608,0,7,0,0,0,0,0,0,0,0,0,1,0
23625,7179,1,43,20,1562,0,2,0,0,0,0,0,1,0,0,0,0,0
23677,3355,1,74,24,1779,0,7,0,0,0,0,0,0,0,0,0,1,0
23718,2024,1,63,12,1548,0,1,0,0,0,0,0,0,0,1,0,0,0
23739,11616,1,39,15,2122,0,1,0,0,0,0,0,0,0,1,0,0,0
23750,2709,1,32,18,2373,0,9,0,0,0,0,1,0,0,0,0,0,0
23797,6637,1,40,15,1430,0,11,0,0,1,0,0,0,0,0,0,0,0
23886,2308,1,65,13,1006,0,1,0,0,0,0,0,0,0,1,0,0,0
23916,10743,1,36,14,2407,0,5,0,0,0,0,0,0,0,0,0,0,1
23951,5298,1,39,23,1708,0,4,0,0,0,0,0,0,1,0,0,0,0
23967,11576,1,72,20,935,0,9,0,0,0,0,1,0,0,0,0,0,0
23991,2764,1,43,21,1841,0,1,0,0,0,0,0,0,0,1,0,0,0
24001,9728,1,20,6,2902,0,3,1,0,0,0,0,0,0,0,0,0,0
24041,11378,1,30,14,2509,0,10,0,0,0,0,0,0,0,0,1,0,0
24160,971,1,42,19,1597,0,5,0,0,0,0,0,0,0,0,0,0,1
24163,5325,1,73,14,1727,0,10,0,0,0,0,0,0,0,0,1,0,0
24176,9690,1,55,8,1959,0,6,0,0,0,1,0,0,0,0,0,0,0
24199,2143,1,52,25,1974,0,7,0,0,0,0,0,0,0,0,0,1,0
24266,7999,1,62,18,1826,0,4,0,0,0,0,0,0,1,0,0,0,0
24289,11056,1,46,16,1558,0,7,0,0,0,0,0,0,0,0,0,1,0
24295,8363,1,60,18,2042,0,7,0,0,0,0,0,0,0,0,0,1,0
24325,6974,1,48,10,1623,0,9,0,0,0,0,1,0,0,0,0,0,0
24417,7675,1,45,16,2278,0,5,0,0,0,0,0,0,0,0,0,0,1
24424,331,1,26,20,1078,0,2,0,0,0,0,0,1,0,0,0,0,0
24448,5818,1,43,11,1802,0,1,0,0,0,0,0,0,0,1,0,0,0
24479,10244,1,36,20,1038,0,9,0,0,0,0,1,0,0,0,0,0,0
24481,7969,1,35,18,2562,0,8,0,1,0,0,0,0,0,0,0,0,0
24483,6292,1,18,12,452,0,8,0,1,0,0,0,0,0,0,0,0,0
24503,10057,1,63,15,2893,0,4,0,0,0,0,0,0,1,0,0,0,0
24506,7893,1,62,8,1586,0,10,0,0,0,0,0,0,0,0,1,0,0
24519,10931,1,67,25,2539,0,7,0,0,0,0,0,0,0,0,0,1,0
24541,10030,1,62,19,1271,0,11,0,0,1,0,0,0,0,0,0,0,0
24560,11630,1,20,21,786,0,9,0,0,0,0,1,0,0,0,0,0,0
24610,4105,1,59,19,2544,0,2,0,0,0,0,0,1,0,0,0,0,0
24638,6288,1,62,9,1583,0,6,0,0,0,1,0,0,0,0,0,0,0
24687,11839,1,87,19,1184,0,11,0,0,1,0,0,0,0,0,0,0,0
24700,3740,1,19,30,2096,0,2,0,0,0,0,0,1,0,0,0,0,0
24707,2841,1,35,12,611,0,8,0,1,0,0,0,0,0,0,0,0,0
24725,6681,1,31,16,3048,0,6,0,0,0,1,0,0,0,0,0,0,0
24737,3040,1,74,24,1138,0,4,0,0,0,0,0,0,1,0,0,0,0
24756,8570,1,37,20,3064,0,9,0,0,0,0,1,0,0,0,0,0,0
24763,2868,1,55,22,1168,0,9,0,0,0,0,1,0,0,0,0,0,0
24787,5178,1,63,18,1702,0,6,0,0,0,1,0,0,0,0,0,0,0
24832,1547,1,40,20,2101,0,11,0,0,1,0,0,0,0,0,0,0,0
24891,5803,1,56,22,1631,0,7,0,0,0,0,0,0,0,0,0,1,0
24950,79,1,60,21,1003,0,11,0,0,1,0,0,0,0,0,0,0,0
25065,9666,1,18,26,1897,0,10,0,0,0,0,0,0,0,0,1,0,0
25156,10314,1,48,20,1563,0,11,0,0,1,0,0,0,0,0,0,0,0
