SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_1,adm2_7,adm2_4,adm2_10,adm2_9,adm2_2,adm2_6,adm2_11,adm2_5,adm2_8,adm2_3
725,4044,2,30,25,1,NA,2591,0,6,0,0,0,0,0,0,1,0,0,0,0
732,356,2,45,13,1,NA,2358,0,5,0,0,0,0,0,0,0,0,1,0,0
823,1971,2,55,4,NA,NA,1809,0,10,0,0,0,1,0,0,0,0,0,0,0
827,10532,2,40,27,1,NA,1951,0,1,1,0,0,0,0,0,0,0,0,0,0
869,10106,2,52,23,NA,NA,2523,0,6,0,0,0,0,0,0,1,0,0,0,0
889,4600,2,42,17,1,NA,2360,0,10,0,0,0,1,0,0,0,0,0,0,0
913,5535,2,45,7,1,NA,2035,1,10,0,0,0,1,0,0,0,0,0,0,0
930,8012,2,35,17,1,NA,2373,0,10,0,0,0,1,0,0,0,0,0,0,0
964,927,2,45,18,1,NA,2304,0,9,0,0,0,0,1,0,0,0,0,0,0
965,6369,2,45,16,1,NA,2048,0,11,0,0,0,0,0,0,0,1,0,0,0
1026,10067,2,42,10,1,NA,1853,0,9,0,0,0,0,1,0,0,0,0,0,0
1048,9910,2,42,19,1,NA,2179,0,8,0,0,0,0,0,0,0,0,0,1,0
1091,1127,2,35,30,1,NA,2282,0,6,0,0,0,0,0,0,1,0,0,0,0
1095,7875,2,31,15,1,NA,849,0,1,1,0,0,0,0,0,0,0,0,0,0
1132,4020,2,18,10,1,NA,2214,0,3,0,0,0,0,0,0,0,0,0,0,1
1144,11573,2,35,14,1,NA,2428,0,10,0,0,0,1,0,0,0,0,0,0,0
1277,2419,2,34,19,1,NA,2477,0,4,0,0,1,0,0,0,0,0,0,0,0
1284,7025,2,28,28,1,NA,1820,0,4,0,0,1,0,0,0,0,0,0,0,0
1312,7121,2,47,1,1,NA,1942,1,7,0,1,0,0,0,0,0,0,0,0,0
1360,3896,2,32,10,1,NA,2039,0,3,0,0,0,0,0,0,0,0,0,0,1
1427,1177,2,25,2,1,NA,1864,0,1,1,0,0,0,0,0,0,0,0,0,0
1429,9022,2,29,21,1,NA,2274,0,5,0,0,0,0,0,0,0,0,1,0,0
1435,9573,2,38,18,1,NA,1487,0,4,0,0,1,0,0,0,0,0,0,0,0
1464,103,2,48,8,1,NA,2028,0,1,1,0,0,0,0,0,0,0,0,0,0
1493,11149,2,20,22,1,NA,2016,0,2,0,0,0,0,0,1,0,0,0,0,0
1509,5033,2,30,28,1,NA,1992,0,3,0,0,0,0,0,0,0,0,0,0,1
1528,5027,2,62,14,NA,NA,1422,0,11,0,0,0,0,0,0,0,1,0,0,0
1541,6105,2,25,26,1,NA,2159,0,11,0,0,0,0,0,0,0,1,0,0,0
1545,11728,2,37,19,1,NA,2214,0,7,0,1,0,0,0,0,0,0,0,0,0
1609,7359,2,25,20,3,NA,2346,0,8,0,0,0,0,0,0,0,0,0,1,0
1626,10489,2,62,1,NA,NA,1247,1,1,1,0,0,0,0,0,0,0,0,0,0
1682,5410,2,30,30,1,NA,1481,0,1,1,0,0,0,0,0,0,0,0,0,0
1712,4590,2,25,9,3,NA,1891,0,4,0,0,1,0,0,0,0,0,0,0,0
1777,663,2,20,22,1,NA,2164,0,2,0,0,0,0,0,1,0,0,0,0,0
1837,962,2,24,25,1,NA,1876,0,11,0,0,0,0,0,0,0,1,0,0,0
1871,10465,2,40,25,1,NA,1973,0,8,0,0,0,0,0,0,0,0,0,1,0
1882,2536,2,45,25,1,NA,2480,0,6,0,0,0,0,0,0,1,0,0,0,0
1894,5027,2,36,14,1,NA,2060,0,11,0,0,0,0,0,0,0,1,0,0,0
1926,10691,2,27,12,1,NA,1988,0,3,0,0,0,0,0,0,0,0,0,0,1
1930,2432,2,48,12,1,NA,1812,0,1,1,0,0,0,0,0,0,0,0,0,0
2038,792,2,27,26,2,NA,2468,0,5,0,0,0,0,0,0,0,0,1,0,0
2058,7909,2,30,27,1,NA,2466,0,3,0,0,0,0,0,0,0,0,0,0,1
2118,9506,2,36,8,1,NA,1881,0,3,0,0,0,0,0,0,0,0,0,0,1
2131,10027,2,66,28,NA,NA,2038,0,8,0,0,0,0,0,0,0,0,0,1,0
2134,1099,2,25,20,1,NA,1552,0,1,1,0,0,0,0,0,0,0,0,0,0
2219,3791,2,31,20,1,NA,2019,0,1,1,0,0,0,0,0,0,0,0,0,0
2263,8226,2,27,27,1,NA,2543,0,1,1,0,0,0,0,0,0,0,0,0,0
2288,4049,2,30,19,3,NA,1889,0,8,0,0,0,0,0,0,0,0,0,1,0
2438,8852,2,50,19,NA,NA,2022,0,11,0,0,0,0,0,0,0,1,0,0,0
2439,8196,2,53,24,NA,NA,2493,0,6,0,0,0,0,0,0,1,0,0,0,0
2527,6172,2,50,20,NA,NA,1414,0,8,0,0,0,0,0,0,0,0,0,1,0
2534,148,2,25,16,3,NA,2043,0,11,0,0,0,0,0,0,0,1,0,0,0
2555,2708,2,40,12,1,NA,2274,0,5,0,0,0,0,0,0,0,0,1,0,0
2560,197,2,52,15,NA,NA,2187,0,1,1,0,0,0,0,0,0,0,0,0,0
2631,11776,2,30,14,1,NA,2173,0,9,0,0,0,0,1,0,0,0,0,0,0
2633,10223,2,32,18,1,NA,1934,0,9,0,0,0,0,1,0,0,0,0,0,0
2634,663,2,48,22,1,NA,2375,0,2,0,0,0,0,0,1,0,0,0,0,0
2649,9217,2,40,29,1,NA,1850,0,7,0,1,0,0,0,0,0,0,0,0,0
2685,8860,2,30,20,1,NA,1848,0,11,0,0,0,0,0,0,0,1,0,0,0
2695,2378,2,20,13,3,NA,1781,0,10,0,0,0,1,0,0,0,0,0,0,0
2721,350,2,23,27,1,NA,2056,0,5,0,0,0,0,0,0,0,0,1,0,0
2724,43,2,45,23,1,NA,2021,0,8,0,0,0,0,0,0,0,0,0,1,0
2727,635,2,38,20,1,NA,2272,0,9,0,0,0,0,1,0,0,0,0,0,0
2735,4150,2,34,18,1,NA,1955,0,4,0,0,1,0,0,0,0,0,0,0,0
2794,8309,2,55,24,NA,NA,1926,0,11,0,0,0,0,0,0,0,1,0,0,0
2876,1920,2,36,16,1,NA,2172,0,9,0,0,0,0,1,0,0,0,0,0,0
2878,2855,2,45,2,1,NA,1278,0,6,0,0,0,0,0,0,1,0,0,0,0
2941,447,2,48,21,1,NA,1836,0,7,0,1,0,0,0,0,0,0,0,0,0
2972,4290,2,65,18,NA,NA,1892,0,7,0,1,0,0,0,0,0,0,0,0,0
2987,9338,2,25,22,1,NA,2083,0,2,0,0,0,0,0,1,0,0,0,0,0
3001,5546,2,50,25,1,NA,1485,0,6,0,0,0,0,0,0,1,0,0,0,0
3047,11295,2,52,21,NA,NA,2242,0,1,1,0,0,0,0,0,0,0,0,0,0
3100,10768,2,52,27,NA,NA,2459,0,5,0,0,0,0,0,0,0,0,1,0,0
3107,6900,2,30,7,1,NA,2236,1,2,0,0,0,0,0,1,0,0,0,0,0
3130,866,2,37,1,1,NA,2129,1,6,0,0,0,0,0,0,1,0,0,0,0
3137,8620,2,35,22,1,NA,1639,0,11,0,0,0,0,0,0,0,1,0,0,0
3157,213,2,36,14,1,NA,2496,0,9,0,0,0,0,1,0,0,0,0,0,0
3182,8265,2,65,22,NA,NA,1681,0,11,0,0,0,0,0,0,0,1,0,0,0
3226,8642,2,28,21,1,NA,2329,0,5,0,0,0,0,0,0,0,0,1,0,0
3239,2634,2,44,28,1,NA,1369,0,1,1,0,0,0,0,0,0,0,0,0,0
3431,4760,2,58,18,NA,NA,2156,0,11,0,0,0,0,0,0,0,1,0,0,0
3455,6533,2,45,10,1,NA,1534,0,4,0,0,1,0,0,0,0,0,0,0,0
3474,7462,2,24,22,3,NA,2260,0,2,0,0,0,0,0,1,0,0,0,0,0
3589,6207,2,34,15,1,NA,1945,0,1,1,0,0,0,0,0,0,0,0,0,0
3607,4034,2,48,24,1,NA,2490,0,5,0,0,0,0,0,0,0,0,1,0,0
3619,11546,2,45,1,1,NA,1843,1,7,0,1,0,0,0,0,0,0,0,0,0
3621,10859,2,30,22,1,NA,2095,0,2,0,0,0,0,0,1,0,0,0,0,0
3633,6354,2,40,18,1,NA,1388,0,7,0,1,0,0,0,0,0,0,0,0,0
3639,11418,2,65,10,NA,NA,1118,0,9,0,0,0,0,1,0,0,0,0,0,0
3651,4966,2,35,19,1,NA,2026,0,11,0,0,0,0,0,0,0,1,0,0,0
3664,1129,2,42,19,1,NA,2565,0,8,0,0,0,0,0,0,0,0,0,1,0
3673,5049,2,60,24,NA,NA,2148,0,8,0,0,0,0,0,0,0,0,0,1,0
3722,1724,2,55,1,NA,NA,2120,1,7,0,1,0,0,0,0,0,0,0,0,0
3736,6708,2,49,21,1,NA,2871,0,7,0,1,0,0,0,0,0,0,0,0,0
3762,4945,2,39,26,1,NA,1912,0,5,0,0,0,0,0,0,0,0,1,0,0
3777,5563,2,25,30,1,NA,2130,0,3,0,0,0,0,0,0,0,0,0,0,1
3800,1675,2,53,20,NA,NA,2006,0,1,1,0,0,0,0,0,0,0,0,0,0
3834,3062,2,25,15,1,NA,2115,0,1,1,0,0,0,0,0,0,0,0,0,0
3864,11752,2,40,15,1,NA,2380,0,1,1,0,0,0,0,0,0,0,0,0,0
3875,10001,2,40,5,1,NA,1976,0,2,0,0,0,0,0,1,0,0,0,0,0
3911,10669,2,21,20,1,NA,2191,0,9,0,0,0,0,1,0,0,0,0,0,0
3916,8065,2,25,25,1,NA,1666,0,6,0,0,0,0,0,0,1,0,0,0,0
3921,6880,2,68,11,NA,NA,1512,0,9,0,0,0,0,1,0,0,0,0,0,0
3923,2542,2,35,27,1,NA,2238,0,5,0,0,0,0,0,0,0,0,1,0,0
3932,5172,2,26,25,1,NA,2260,0,6,0,0,0,0,0,0,1,0,0,0,0
3938,1522,2,19,16,3,NA,2123,0,11,0,0,0,0,0,0,0,1,0,0,0
3950,8599,2,48,25,1,NA,2213,0,6,0,0,0,0,0,0,1,0,0,0,0
3956,823,2,68,11,NA,NA,1502,0,9,0,0,0,0,1,0,0,0,0,0,0
3963,6742,2,60,24,NA,NA,2008,0,8,0,0,0,0,0,0,0,0,0,1,0
3981,9625,2,32,25,1,NA,2012,0,2,0,0,0,0,0,1,0,0,0,0,0
3990,2067,2,22,21,1,NA,1827,0,5,0,0,0,0,0,0,0,0,1,0,0
4035,8131,2,60,8,NA,NA,1657,0,2,0,0,0,0,0,1,0,0,0,0,0
4045,7350,2,46,17,1,NA,1704,0,4,0,0,1,0,0,0,0,0,0,0,0
4052,1648,2,22,7,3,NA,1856,1,2,0,0,0,0,0,1,0,0,0,0,0
4057,6419,2,19,25,1,NA,2160,0,6,0,0,0,0,0,0,1,0,0,0,0
4083,4905,2,42,30,1,NA,1864,0,3,0,0,0,0,0,0,0,0,0,0,1
4105,3976,2,30,16,1,NA,1884,0,9,0,0,0,0,1,0,0,0,0,0,0
4121,5247,2,25,3,1,NA,2460,0,7,0,1,0,0,0,0,0,0,0,0,0
4123,1016,2,38,29,1,NA,1969,0,4,0,0,1,0,0,0,0,0,0,0,0
4127,9407,2,40,22,1,NA,2601,0,1,1,0,0,0,0,0,0,0,0,0,0
4133,4002,2,65,12,NA,NA,1365,0,3,0,0,0,0,0,0,0,0,0,0,1
4155,9171,2,35,11,1,NA,2001,0,9,0,0,0,0,1,0,0,0,0,0,0
4173,11187,2,42,24,1,NA,1424,0,5,0,0,0,0,0,0,0,0,1,0,0
4200,10676,2,46,4,1,NA,2082,0,10,0,0,0,1,0,0,0,0,0,0,0
4242,7004,2,24,20,1,NA,2178,0,9,0,0,0,0,1,0,0,0,0,0,0
4246,5610,2,32,15,1,NA,2210,0,10,0,0,0,1,0,0,0,0,0,0,0
4250,11322,2,30,8,3,NA,2032,0,2,0,0,0,0,0,1,0,0,0,0,0
4300,613,2,32,29,1,NA,1959,0,4,0,0,1,0,0,0,0,0,0,0,0
4317,1240,2,20,20,1,NA,1981,0,11,0,0,0,0,0,0,0,1,0,0,0
4345,7883,2,40,19,1,NA,1512,0,4,0,0,1,0,0,0,0,0,0,0,0
4346,11421,2,40,20,1,NA,1994,0,11,0,0,0,0,0,0,0,1,0,0,0
4356,8391,2,20,9,1,NA,1864,0,3,0,0,0,0,0,0,0,0,0,0,1
4487,9400,2,25,8,1,NA,2450,0,1,1,0,0,0,0,0,0,0,0,0,0
4498,10198,2,32,2,1,NA,2425,0,1,1,0,0,0,0,0,0,0,0,0,0
4551,3484,2,36,15,1,NA,1932,0,11,0,0,0,0,0,0,0,1,0,0,0
4595,7264,2,40,23,1,NA,2616,0,11,0,0,0,0,0,0,0,1,0,0,0
4650,10171,2,30,16,1,NA,2000,0,11,0,0,0,0,0,0,0,1,0,0,0
4667,6345,2,42,18,1,NA,2067,0,11,0,0,0,0,0,0,0,1,0,0,0
4698,11202,2,45,19,1,NA,1790,0,11,0,0,0,0,0,0,0,1,0,0,0
4703,1309,2,32,26,1,NA,2663,0,5,0,0,0,0,0,0,0,0,1,0,0
4707,10435,2,20,16,3,NA,2295,0,9,0,0,0,0,1,0,0,0,0,0,0
4719,9392,2,40,12,1,NA,2001,0,11,0,0,0,0,0,0,0,1,0,0,0
4729,9695,2,18,8,1,NA,1991,0,3,0,0,0,0,0,0,0,0,0,0,1
4750,6198,2,30,22,1,NA,1767,0,8,0,0,0,0,0,0,0,0,0,1,0
4788,6231,2,26,3,1,NA,1968,0,10,0,0,0,1,0,0,0,0,0,0,0
4818,4713,2,50,13,NA,NA,1451,0,1,1,0,0,0,0,0,0,0,0,0,0
4850,7955,2,65,18,NA,NA,1914,0,4,0,0,1,0,0,0,0,0,0,0,0
4866,9174,2,40,16,1,NA,2022,0,9,0,0,0,0,1,0,0,0,0,0,0
4925,7877,2,40,23,1,NA,2314,0,2,0,0,0,0,0,1,0,0,0,0,0
4972,10669,2,50,20,NA,NA,1887,0,9,0,0,0,0,1,0,0,0,0,0,0
4980,6375,2,35,14,1,NA,1796,0,9,0,0,0,0,1,0,0,0,0,0,0
4985,1463,2,60,25,NA,NA,2563,0,6,0,0,0,0,0,0,1,0,0,0,0
5016,793,2,34,25,1,NA,2101,0,2,0,0,0,0,0,1,0,0,0,0,0
5024,1693,2,30,5,1,NA,1765,0,2,0,0,0,0,0,1,0,0,0,0,0
5030,7353,2,48,29,1,NA,2424,0,3,0,0,0,0,0,0,0,0,0,0,1
5070,4320,2,42,24,1,NA,2345,0,2,0,0,0,0,0,1,0,0,0,0,0
5087,11814,2,30,4,2,NA,2293,0,9,0,0,0,0,1,0,0,0,0,0,0
5144,118,2,32,9,1,NA,1632,0,1,1,0,0,0,0,0,0,0,0,0,0
5150,9071,2,30,15,1,NA,2127,0,10,0,0,0,1,0,0,0,0,0,0,0
5223,5474,2,37,21,1,NA,1728,0,1,1,0,0,0,0,0,0,0,0,0,0
5268,1920,2,19,16,1,NA,1960,0,9,0,0,0,0,1,0,0,0,0,0,0
5329,2443,2,28,24,1,NA,2232,0,5,0,0,0,0,0,0,0,0,1,0,0
5359,5431,2,27,5,1,NA,2401,0,9,0,0,0,0,1,0,0,0,0,0,0
5384,6169,2,37,3,1,NA,1678,0,7,0,1,0,0,0,0,0,0,0,0,0
5387,6679,2,33,24,1,NA,2095,0,2,0,0,0,0,0,1,0,0,0,0,0
5399,11333,2,45,7,1,NA,2061,1,10,0,0,0,1,0,0,0,0,0,0,0
5403,7366,2,50,29,NA,NA,2925,0,5,0,0,0,0,0,0,0,0,1,0,0
5423,8954,2,45,24,1,NA,1786,0,5,0,0,0,0,0,0,0,0,1,0,0
5429,4681,2,48,28,1,NA,1605,0,1,1,0,0,0,0,0,0,0,0,0,0
5454,9634,2,41,10,1,NA,1826,0,3,0,0,0,0,0,0,0,0,0,0,1
5455,4525,2,31,30,1,NA,1868,0,3,0,0,0,0,0,0,0,0,0,0,1
5526,6351,2,28,19,1,NA,1971,0,11,0,0,0,0,0,0,0,1,0,0,0
5537,11499,2,18,29,1,NA,1059,0,1,1,0,0,0,0,0,0,0,0,0,0
5553,10804,2,30,28,1,NA,1900,0,5,0,0,0,0,0,0,0,0,1,0,0
5563,8123,2,27,27,1,NA,2018,0,1,1,0,0,0,0,0,0,0,0,0,0
5584,5798,2,65,28,NA,NA,2076,0,3,0,0,0,0,0,0,0,0,0,0,1
5632,9988,2,25,6,2,NA,2044,0,10,0,0,0,1,0,0,0,0,0,0,0
5692,3359,2,48,30,1,NA,1807,0,4,0,0,1,0,0,0,0,0,0,0,0
5741,1867,2,58,17,NA,NA,2355,0,4,0,0,1,0,0,0,0,0,0,0,0
5766,5352,2,25,24,1,NA,2215,0,5,0,0,0,0,0,0,0,0,1,0,0
5778,8257,2,50,24,NA,NA,2475,0,8,0,0,0,0,0,0,0,0,0,1,0
5785,8394,2,25,30,1,NA,1930,0,1,1,0,0,0,0,0,0,0,0,0,0
5793,11613,2,43,18,1,NA,1473,0,7,0,1,0,0,0,0,0,0,0,0,0
5827,8108,2,19,20,1,NA,1752,0,1,1,0,0,0,0,0,0,0,0,0,0
5967,2385,2,32,22,1,NA,1663,0,1,1,0,0,0,0,0,0,0,0,0,0
6006,490,2,65,26,NA,NA,2045,0,11,0,0,0,0,0,0,0,1,0,0,0
6014,9140,2,23,12,1,NA,2025,0,9,0,0,0,0,1,0,0,0,0,0,0
6030,1020,2,18,5,1,NA,1646,0,10,0,0,0,1,0,0,0,0,0,0,0
6035,336,2,48,12,1,NA,1667,0,4,0,0,1,0,0,0,0,0,0,0,0
6036,3060,2,30,15,1,NA,1749,0,10,0,0,0,1,0,0,0,0,0,0,0
6039,1424,2,22,24,1,NA,2423,0,5,0,0,0,0,0,0,0,0,1,0,0
6050,9144,2,28,22,1,NA,1472,0,1,1,0,0,0,0,0,0,0,0,0,0
6055,4131,2,44,18,1,NA,2096,0,7,0,1,0,0,0,0,0,0,0,0,0
6084,1960,2,40,3,1,NA,1806,0,7,0,1,0,0,0,0,0,0,0,0,0
6136,4297,2,65,12,NA,NA,2018,0,1,1,0,0,0,0,0,0,0,0,0,0
6223,3665,2,60,15,NA,NA,2065,0,10,0,0,0,1,0,0,0,0,0,0,0
6237,7800,2,35,30,1,NA,2677,0,7,0,1,0,0,0,0,0,0,0,0,0
6325,7246,2,55,29,NA,NA,1930,0,3,0,0,0,0,0,0,0,0,0,0,1
6348,1567,2,21,16,1,NA,2442,0,4,0,0,1,0,0,0,0,0,0,0,0
6387,5877,2,55,17,NA,NA,1809,0,4,0,0,1,0,0,0,0,0,0,0,0
6424,3663,2,55,18,NA,NA,1438,0,4,0,0,1,0,0,0,0,0,0,0,0
6439,2383,2,20,12,1,NA,1733,0,9,0,0,0,0,1,0,0,0,0,0,0
6468,7742,2,39,23,1,NA,1752,0,8,0,0,0,0,0,0,0,0,0,1,0
6480,4852,2,65,2,NA,NA,2508,0,9,0,0,0,0,1,0,0,0,0,0,0
6503,6419,2,38,25,1,NA,1955,0,6,0,0,0,0,0,0,1,0,0,0,0
6543,56,2,45,3,1,NA,2654,0,10,0,0,0,1,0,0,0,0,0,0,0
6572,4376,2,40,20,1,NA,1923,0,1,1,0,0,0,0,0,0,0,0,0,0
6577,2442,2,33,19,1,NA,1930,0,4,0,0,1,0,0,0,0,0,0,0,0
6607,3226,2,24,7,1,NA,2360,1,10,0,0,0,1,0,0,0,0,0,0,0
6613,6595,2,32,20,1,NA,1788,0,8,0,0,0,0,0,0,0,0,0,1,0
6618,10622,2,28,2,1,NA,2096,0,9,0,0,0,0,1,0,0,0,0,0,0
6641,6313,2,45,23,1,NA,2874,0,5,0,0,0,0,0,0,0,0,1,0,0
6673,7752,2,65,22,NA,NA,1821,0,11,0,0,0,0,0,0,0,1,0,0,0
6674,4733,2,35,4,1,NA,1988,0,9,0,0,0,0,1,0,0,0,0,0,0
6681,8763,2,42,28,1,NA,2094,0,5,0,0,0,0,0,0,0,0,1,0,0
6689,11219,2,26,31,1,NA,1575,0,7,0,1,0,0,0,0,0,0,0,0,0
6710,6251,2,30,18,1,NA,2148,0,9,0,0,0,0,1,0,0,0,0,0,0
6711,1020,2,68,5,NA,NA,1579,0,10,0,0,0,1,0,0,0,0,0,0,0
6730,2997,2,43,24,1,NA,2212,0,6,0,0,0,0,0,0,1,0,0,0,0
6750,5374,2,25,13,1,NA,2159,0,11,0,0,0,0,0,0,0,1,0,0,0
6753,777,2,62,16,NA,NA,2167,0,9,0,0,0,0,1,0,0,0,0,0,0
6755,6523,2,45,12,1,NA,2329,0,5,0,0,0,0,0,0,0,0,1,0,0
6820,8394,2,45,30,1,NA,1862,0,1,1,0,0,0,0,0,0,0,0,0,0
6823,1658,2,25,7,1,NA,1904,1,10,0,0,0,1,0,0,0,0,0,0,0
6838,4319,2,29,11,1,NA,1636,0,4,0,0,1,0,0,0,0,0,0,0,0
6877,10310,2,40,19,1,NA,1233,0,4,0,0,1,0,0,0,0,0,0,0,0
6881,555,2,50,1,NA,NA,2040,1,7,0,1,0,0,0,0,0,0,0,0,0
6978,8327,2,52,12,NA,NA,1412,0,5,0,0,0,0,0,0,0,0,1,0,0
6988,1737,2,65,27,NA,NA,2377,0,5,0,0,0,0,0,0,0,0,1,0,0
7000,8100,2,72,21,NA,NA,1620,0,5,0,0,0,0,0,0,0,0,1,0,0
7005,850,2,42,19,1,NA,2337,0,7,0,1,0,0,0,0,0,0,0,0,0
7064,11279,2,50,28,NA,NA,1975,0,6,0,0,0,0,0,0,1,0,0,0,0
7085,11789,2,38,17,1,NA,2373,0,4,0,0,1,0,0,0,0,0,0,0,0
7121,11079,2,45,1,1,NA,2014,1,7,0,1,0,0,0,0,0,0,0,0,0
7162,1307,2,53,17,NA,NA,2289,0,4,0,0,1,0,0,0,0,0,0,0,0
7169,5187,2,26,16,3,NA,2369,0,11,0,0,0,0,0,0,0,1,0,0,0
7181,8545,2,80,21,NA,NA,1695,0,7,0,1,0,0,0,0,0,0,0,0,0
7191,3946,2,38,18,1,NA,2041,0,8,0,0,0,0,0,0,0,0,0,1,0
7222,10537,2,29,24,1,NA,2239,0,5,0,0,0,0,0,0,0,0,1,0,0
7225,10343,2,42,10,1,NA,1754,0,4,0,0,1,0,0,0,0,0,0,0,0
7271,8100,2,32,21,1,NA,1531,0,5,0,0,0,0,0,0,0,0,1,0,0
7288,2645,2,39,19,1,NA,2079,0,8,0,0,0,0,0,0,0,0,0,1,0
7290,11310,2,22,23,3,NA,1912,0,5,0,0,0,0,0,0,0,0,1,0,0
7309,5700,2,36,26,1,NA,2531,0,2,0,0,0,0,0,1,0,0,0,0,0
7341,8203,2,22,10,1,NA,2247,0,9,0,0,0,0,1,0,0,0,0,0,0
7359,8991,2,55,18,NA,NA,1740,0,9,0,0,0,0,1,0,0,0,0,0,0
7382,9623,2,60,11,NA,NA,1457,0,3,0,0,0,0,0,0,0,0,0,0,1
7414,8845,2,38,23,1,NA,2407,0,5,0,0,0,0,0,0,0,0,1,0,0
7428,1922,2,54,28,NA,NA,1639,0,3,0,0,0,0,0,0,0,0,0,0,1
7468,9787,2,75,23,NA,NA,1878,0,5,0,0,0,0,0,0,0,0,1,0,0
7484,9841,2,38,20,1,NA,2483,0,11,0,0,0,0,0,0,0,1,0,0,0
7492,4532,2,20,22,1,NA,2095,0,1,1,0,0,0,0,0,0,0,0,0,0
7510,7899,2,30,20,1,NA,1954,0,8,0,0,0,0,0,0,0,0,0,1,0
7516,928,2,20,23,1,NA,1386,0,2,0,0,0,0,0,1,0,0,0,0,0
7528,8421,2,24,29,1,NA,2156,0,1,1,0,0,0,0,0,0,0,0,0,0
7563,1612,2,50,29,NA,NA,2481,0,3,0,0,0,0,0,0,0,0,0,0,1
7603,4197,2,19,9,1,NA,1577,0,4,0,0,1,0,0,0,0,0,0,0,0
7640,1504,2,21,4,1,NA,2057,0,10,0,0,0,1,0,0,0,0,0,0,0
7650,1943,2,42,2,1,NA,1872,0,1,1,0,0,0,0,0,0,0,0,0,0
7663,5315,2,40,12,1,NA,2375,0,9,0,0,0,0,1,0,0,0,0,0,0
7722,9446,2,23,26,1,NA,2314,0,5,0,0,0,0,0,0,0,0,1,0,0
7752,7980,2,58,5,NA,NA,2149,0,9,0,0,0,0,1,0,0,0,0,0,0
7768,10552,2,25,15,1,NA,2010,0,10,0,0,0,1,0,0,0,0,0,0,0
7790,1311,2,22,8,3,NA,2157,0,3,0,0,0,0,0,0,0,0,0,0,1
7837,7147,2,55,13,NA,NA,2459,0,1,1,0,0,0,0,0,0,0,0,0,0
7838,4333,2,65,31,NA,NA,1622,0,7,0,1,0,0,0,0,0,0,0,0,0
7883,1546,2,27,16,1,NA,1775,0,4,0,0,1,0,0,0,0,0,0,0,0
7917,3701,2,40,10,1,NA,1847,0,9,0,0,0,0,1,0,0,0,0,0,0
7926,9371,2,33,22,1,NA,2187,0,2,0,0,0,0,0,1,0,0,0,0,0
7931,4668,2,55,2,NA,NA,1820,0,1,1,0,0,0,0,0,0,0,0,0,0
