SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_1,adm2_5,adm2_2,adm2_8,adm2_4,adm2_7,adm2_6,adm2_3
14467,1634,1,30,2,2184,0,5,0,1,0,0,0,0,0,0
14488,5583,1,55,15,1891,0,6,0,0,0,0,0,0,1,0
14557,4412,1,32,11,2446,0,7,0,0,0,0,0,1,0,0
14650,8833,1,55,19,2642,0,8,0,0,0,1,0,0,0,0
14657,5173,1,30,24,2713,0,8,0,0,0,1,0,0,0,0
14662,7826,1,45,22,1658,0,2,0,0,1,0,0,0,0,0
14779,6035,1,36,1,1733,1,5,0,1,0,0,0,0,0,0
14803,5936,1,58,20,1867,0,1,1,0,0,0,0,0,0,0
14823,559,1,45,9,1651,0,2,0,0,1,0,0,0,0,0
14867,3575,1,45,29,2180,0,8,0,0,0,1,0,0,0,0
14874,3641,1,28,14,1795,0,1,1,0,0,0,0,0,0,0
14883,505,1,65,22,1524,0,8,0,0,0,1,0,0,0,0
14916,10651,1,40,13,2349,0,1,1,0,0,0,0,0,0,0
14947,11715,1,29,30,2147,0,5,0,1,0,0,0,0,0,0
14963,5684,1,55,25,1615,0,4,0,0,0,0,1,0,0,0
14996,11883,1,45,24,1654,0,8,0,0,0,1,0,0,0,0
15119,5732,1,32,16,2304,0,5,0,1,0,0,0,0,0,0
15128,9142,1,20,18,1791,0,3,0,0,0,0,0,0,0,1
15245,7344,1,28,24,2052,0,4,0,0,0,0,1,0,0,0
15388,2454,1,55,17,1991,0,1,1,0,0,0,0,0,0,0
15390,4508,1,25,28,2832,0,6,0,0,0,0,0,0,1,0
15393,7840,1,40,27,1877,0,2,0,0,1,0,0,0,0,0
15426,6284,1,23,25,1403,0,5,0,1,0,0,0,0,0,0
15436,4096,1,60,29,1562,0,6,0,0,0,0,0,0,1,0
15439,6548,1,24,23,2265,0,4,0,0,0,0,1,0,0,0
15461,6581,1,30,27,1665,0,5,0,1,0,0,0,0,0,0
15484,6702,1,35,28,2044,0,6,0,0,0,0,0,0,1,0
15506,5016,1,35,23,2032,0,8,0,0,0,1,0,0,0,0
15517,4603,1,53,25,1679,0,4,0,0,0,0,1,0,0,0
15543,5658,1,20,24,1755,0,7,0,0,0,0,0,1,0,0
15547,73,1,18,22,1443,0,7,0,0,0,0,0,1,0,0
15558,4689,1,40,22,1996,0,7,0,0,0,0,0,1,0,0
15561,5054,1,25,23,1590,0,2,0,0,1,0,0,0,0,0
15570,5403,1,23,13,2343,0,1,1,0,0,0,0,0,0,0
15590,696,1,27,16,2157,0,1,1,0,0,0,0,0,0,0
15595,9684,1,20,20,1977,0,2,0,0,1,0,0,0,0,0
15596,329,1,18,21,1955,0,2,0,0,1,0,0,0,0,0
15709,2642,1,42,5,1778,0,2,0,0,1,0,0,0,0,0
15713,5719,1,38,25,1977,0,4,0,0,0,0,1,0,0,0
15714,3624,1,39,15,1965,0,6,0,0,0,0,0,0,1,0
15810,2889,1,30,20,3438,0,8,0,0,0,1,0,0,0,0
15861,3074,1,40,20,2827,0,1,1,0,0,0,0,0,0,0
15897,6108,1,24,1,1797,1,5,0,1,0,0,0,0,0,0
16002,8399,1,30,22,2096,0,7,0,0,0,0,0,1,0,0
16141,10535,1,60,19,2870,0,8,0,0,0,1,0,0,0,0
16172,10243,1,43,12,2151,0,6,0,0,0,0,0,0,1,0
16188,5891,1,60,16,1797,0,6,0,0,0,0,0,0,1,0
16203,10098,1,45,16,1842,0,1,1,0,0,0,0,0,0,0
16233,4977,1,23,19,1568,0,4,0,0,0,0,1,0,0,0
16273,932,1,38,18,1226,0,3,0,0,0,0,0,0,0,1
16402,37,1,31,18,1843,0,3,0,0,0,0,0,0,0,1
16422,9014,1,32,13,3469,0,1,1,0,0,0,0,0,0,0
16440,8458,1,55,29,1665,0,2,0,0,1,0,0,0,0,0
16446,267,1,26,17,3127,0,1,1,0,0,0,0,0,0,0
16501,5235,1,65,29,1800,0,8,0,0,0,1,0,0,0,0
16573,5743,1,30,23,1933,0,6,0,0,0,0,0,0,1,0
16588,5367,1,20,27,2143,0,2,0,0,1,0,0,0,0,0
16600,5319,1,30,17,1889,0,4,0,0,0,0,1,0,0,0
16618,9958,1,25,22,2445,0,2,0,0,1,0,0,0,0,0
16683,1715,1,24,22,2162,0,2,0,0,1,0,0,0,0,0
16757,1697,1,55,9,1700,0,2,0,0,1,0,0,0,0,0
16776,3281,1,30,12,1916,0,6,0,0,0,0,0,0,1,0
16866,7976,1,30,19,2368,0,5,0,1,0,0,0,0,0,0
16889,11879,1,21,13,1516,0,3,0,0,0,0,0,0,0,1
16901,7463,1,58,13,2023,0,1,1,0,0,0,0,0,0,0
16925,2140,1,40,19,5508,0,8,0,0,0,1,0,0,0,0
16956,7525,1,67,22,3055,0,8,0,0,0,1,0,0,0,0
16979,11651,1,24,23,1753,0,8,0,0,0,1,0,0,0,0
16987,5463,1,23,26,1800,0,8,0,0,0,1,0,0,0,0
17018,3318,1,28,23,1937,0,4,0,0,0,0,1,0,0,0
17019,3347,1,31,14,1741,0,4,0,0,0,0,1,0,0,0
17102,3319,1,30,23,748,0,2,0,0,1,0,0,0,0,0
17194,9562,1,42,3,1634,0,2,0,0,1,0,0,0,0,0
17195,1408,1,30,27,2058,0,5,0,1,0,0,0,0,0,0
17201,8575,1,31,31,2417,0,3,0,0,0,0,0,0,0,1
17202,6481,1,55,15,2016,0,6,0,0,0,0,0,0,1,0
17353,7176,1,45,22,2590,0,4,0,0,0,0,1,0,0,0
17408,3836,1,70,20,1505,0,1,1,0,0,0,0,0,0,0
17484,9194,1,50,15,2286,0,6,0,0,0,0,0,0,1,0
17485,3378,1,21,23,1386,0,4,0,0,0,0,1,0,0,0
17539,771,1,58,16,2212,0,1,1,0,0,0,0,0,0,0
17662,9522,1,37,20,1580,0,2,0,0,1,0,0,0,0,0
17723,4198,1,25,15,2349,0,4,0,0,0,0,1,0,0,0
17770,2610,1,41,20,2540,0,8,0,0,0,1,0,0,0,0
17854,8535,1,35,22,2141,0,2,0,0,1,0,0,0,0,0
17872,1025,1,28,19,2519,0,4,0,0,0,0,1,0,0,0
17920,11488,1,55,15,2385,0,6,0,0,0,0,0,0,1,0
17929,10926,1,52,13,1644,0,3,0,0,0,0,0,0,0,1
17943,5194,1,35,24,2120,0,4,0,0,0,0,1,0,0,0
17957,1455,1,28,13,2114,0,1,1,0,0,0,0,0,0,0
17979,2673,1,22,15,2260,0,6,0,0,0,0,0,0,1,0
18024,185,1,22,25,2292,0,8,0,0,0,1,0,0,0,0
18090,385,1,32,21,2563,0,6,0,0,0,0,0,0,1,0
18099,11045,1,42,21,1793,0,1,1,0,0,0,0,0,0,0
