SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_2,adm2_4,adm2_3,adm2_5,adm2_7,adm2_6,adm2_11,adm2_10,adm2_8,adm2_1,adm2_9
38305,9925,1,40,5,2254,0,2,1,0,0,0,0,0,0,0,0,0,0
38332,6746,1,60,11,2548,0,5,0,0,0,1,0,0,0,0,0,0,0
38395,8056,1,60,9,2324,0,4,0,1,0,0,0,0,0,0,0,0,0
38471,11776,1,37,14,2173,0,9,0,0,0,0,0,0,0,0,0,0,1
38538,10456,1,58,22,2251,0,8,0,0,0,0,0,0,0,0,1,0,0
38547,9608,1,33,9,1684,0,3,0,0,1,0,0,0,0,0,0,0,0
38571,7928,1,44,12,2181,0,5,0,0,0,1,0,0,0,0,0,0,0
38592,1278,1,60,4,2037,0,10,0,0,0,0,0,0,0,1,0,0,0
38629,9830,1,21,28,2244,0,6,0,0,0,0,0,1,0,0,0,0,0
38658,7034,1,78,27,2598,0,3,0,0,1,0,0,0,0,0,0,0,0
38675,6351,1,60,19,2327,0,11,0,0,0,0,0,0,1,0,0,0,0
38700,1910,1,36,12,2531,0,5,0,0,0,1,0,0,0,0,0,0,0
38701,11649,1,21,26,2058,0,2,1,0,0,0,0,0,0,0,0,0,0
38726,8889,1,23,25,2653,0,2,1,0,0,0,0,0,0,0,0,0,0
38819,3518,1,48,29,2017,0,4,0,1,0,0,0,0,0,0,0,0,0
39011,7883,1,47,19,1951,0,4,0,1,0,0,0,0,0,0,0,0,0
39066,8123,1,35,27,1683,0,1,0,0,0,0,0,0,0,0,0,1,0
39069,6107,1,25,19,2271,0,7,0,0,0,0,1,0,0,0,0,0,0
39091,11269,1,65,22,2139,0,2,1,0,0,0,0,0,0,0,0,0,0
39092,9971,1,18,23,1740,0,5,0,0,0,1,0,0,0,0,0,0,0
39127,5821,1,40,19,1824,0,8,0,0,0,0,0,0,0,0,1,0,0
39247,11165,1,48,13,2082,0,1,0,0,0,0,0,0,0,0,0,1,0
39316,3617,1,20,22,2553,0,2,1,0,0,0,0,0,0,0,0,0,0
39334,1849,1,45,25,2597,0,2,1,0,0,0,0,0,0,0,0,0,0
39369,9462,1,48,23,2371,0,2,1,0,0,0,0,0,0,0,0,0,0
39399,8551,1,70,25,1207,0,6,0,0,0,0,0,1,0,0,0,0,0
39431,6313,1,18,23,2950,0,5,0,0,0,1,0,0,0,0,0,0,0
39451,9041,1,70,27,1556,0,1,0,0,0,0,0,0,0,0,0,1,0
39543,2034,1,30,25,2190,0,2,1,0,0,0,0,0,0,0,0,0,0
39562,7736,1,82,13,1660,0,5,0,0,0,1,0,0,0,0,0,0,0
39566,4566,1,40,18,2182,0,8,0,0,0,0,0,0,0,0,1,0,0
39583,4312,1,55,18,2141,0,4,0,1,0,0,0,0,0,0,0,0,0
39634,3572,1,45,11,2284,0,5,0,0,0,1,0,0,0,0,0,0,0
39676,2675,1,25,10,2503,0,5,0,0,0,1,0,0,0,0,0,0,0
