SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_5,adm2_7,adm2_2,adm2_4,adm2_6
35466,7258,1,52,30,1383,0,5,0,0,0,0,1,0,0,0,0
35469,2411,1,33,10,1332,0,2,0,0,0,0,0,0,1,0,0
35516,158,1,40,6,1709,0,1,0,0,1,0,0,0,0,0,0
35528,10386,1,73,19,1496,0,3,0,1,0,0,0,0,0,0,0
35629,2549,1,60,9,2096,0,7,0,0,0,0,0,1,0,0,0
35636,772,1,47,10,1203,0,8,0,0,0,1,0,0,0,0,0
35641,4484,1,28,13,2741,0,1,0,0,1,0,0,0,0,0,0
35804,9978,1,58,23,1755,0,3,0,1,0,0,0,0,0,0,0
35830,2205,1,25,12,1743,0,8,0,0,0,1,0,0,0,0,0
35883,2221,1,60,18,1146,0,5,0,0,0,0,1,0,0,0,0
35981,2398,1,30,31,2132,0,7,0,0,0,0,0,1,0,0,0
36001,6329,1,22,9,2207,0,7,0,0,0,0,0,1,0,0,0
36070,8829,1,43,7,1976,1,9,1,0,0,0,0,0,0,0,0
36222,6407,1,58,18,1800,0,8,0,0,0,1,0,0,0,0,0
36270,933,1,45,10,2917,0,6,0,0,0,0,0,0,0,0,1
36274,930,1,25,6,1293,0,4,0,0,0,0,0,0,0,1,0
36303,7022,1,60,27,2492,0,2,0,0,0,0,0,0,1,0,0
36306,4796,1,59,10,1066,0,1,0,0,1,0,0,0,0,0,0
36343,3304,1,60,2,2276,0,4,0,0,0,0,0,0,0,1,0
36362,7433,1,35,1,2288,1,3,0,1,0,0,0,0,0,0,0
36380,1337,1,48,3,2366,0,8,0,0,0,1,0,0,0,0,0
36385,8530,1,52,16,1800,0,8,0,0,0,1,0,0,0,0,0
36405,2396,1,19,31,2375,0,7,0,0,0,0,0,1,0,0,0
36409,10934,1,40,11,2206,0,3,0,1,0,0,0,0,0,0,0
36417,11456,1,23,31,1230,0,7,0,0,0,0,0,1,0,0,0
36441,7090,1,31,8,2471,0,1,0,0,1,0,0,0,0,0,0
36478,238,1,25,12,2428,0,4,0,0,0,0,0,0,0,1,0
36524,449,1,40,14,1863,0,9,1,0,0,0,0,0,0,0,0
36538,4550,1,51,29,768,0,6,0,0,0,0,0,0,0,0,1
36571,6849,1,68,5,1551,0,8,0,0,0,1,0,0,0,0,0
36600,2562,1,60,23,2627,0,7,0,0,0,0,0,1,0,0,0
36715,9487,1,18,28,1857,0,4,0,0,0,0,0,0,0,1,0
36722,1587,1,65,26,2571,0,4,0,0,0,0,0,0,0,1,0
36798,3185,1,42,20,2804,0,8,0,0,0,1,0,0,0,0,0
36806,4287,1,53,4,2172,0,4,0,0,0,0,0,0,0,1,0
36864,375,1,65,18,1372,0,8,0,0,0,1,0,0,0,0,0
36866,764,1,47,27,1752,0,3,0,1,0,0,0,0,0,0,0
36927,7846,1,36,14,1305,0,9,1,0,0,0,0,0,0,0,0
36947,7096,1,52,23,1212,0,6,0,0,0,0,0,0,0,0,1
36953,4402,1,23,22,2234,0,8,0,0,0,1,0,0,0,0,0
36967,5991,1,40,4,1400,0,3,0,1,0,0,0,0,0,0,0
36980,5996,1,55,22,1923,0,4,0,0,0,0,0,0,0,1,0
37000,11331,1,56,24,1401,0,5,0,0,0,0,1,0,0,0,0
37021,6839,1,35,29,1290,0,7,0,0,0,0,0,1,0,0,0
