"","inad_diff","lit_m","lit_f","sc_share","st_share","hindu","muslim","christian","sikh","buddhist","jain","other_rel","religion_ns","women_work","male_work","marginal_work","non_work","cultivate_work","agri_work","house_work","other_work","hh_lights","hh_internet","hh_computer","rural_hh","urban_hh","ed_below_prim","ed_prim","ed_middle","ed_sec","ed_higher","ed_grad","ed_other","hh_bike","hh_car","hh_radio","hh_scooter","hh_tv","hh_sepearate_kitchen","hh_bathing","hh_latrine","hh_owned","hh_rented","drink_uncovered_well","drink_handpump","drink_spring","drink_river","drink_other","pp_45000","pp_45000_90000","pp_90_150","pp_150_240","pp_240_330","pp_330_425","pp_425_545","pp_545"
"95",0.244176774369569,0.335061616386279,0.390347533647209,0.58436126188803,0.0730219690274692,0.483632971660434,0.526117261958676,0.00621821778916971,0.0185040721086864,0.000415382914721549,0.00782079651564276,0.0123653715035961,0.0645137992265184,0.223614654028241,0.697058149028155,0.390800347561085,0.588607460694951,0.163391355598584,0.60038857517784,0.199616258591736,0.240132562653938,0.336734790606266,0.0403363261782051,0.110537959527836,0.884193793967614,0.115806206032386,0.482134078659545,0.38240858853631,0.681557109896281,0.130853576684226,0.083607066147567,0.135193853772975,0.0679080901605315,0.730791869952019,0.730791869952019,0.25372655100105,0.0652096506593765,0.152677161958559,0.593777426138547,0.203865350732822,0.195397336976141,0.867871207280602,0.0234028148872996,0.0872279966078289,0.975487575161493,0.00189608946784118,0.103217264862255,0.021053984117272,0.513006967058769,0.926083045111504,0.413697692356454,0.527973423040193,0.0920789329882982,0.0791099972363003,0.146943431083279,0.158416271474265
"96",0.139261846072663,0.623108046291077,0.575422926092384,0.336680514546357,0.227236129897546,0.646994056459092,0.0780149209264915,0.175850964351227,0.16708815626338,0.754966363296175,0.0245294499203511,0.0602052133353241,0.187225973627952,0.328037374801463,0.373325293203362,0.235312705481462,0.622291199538577,0.0947746131175453,0.0583938753456899,0.0700663624767518,0.800942914740299,0.659317283359738,0.215193193300986,0.307579269878187,0.535275924942627,0.464724075057373,0.386580949689605,0.439651127056579,0.978234470170899,0.267687442042126,0.332226141710299,0.359014190111895,0.15580964731288,0.344054419567064,0.344054419567064,0.366819956973221,0.130834675555516,0.498061523222143,0.290772792718004,0.482623102791811,0.65786388005814,0.40228388898402,0.283479315631639,0.331448594395438,0.154881403109471,1,0.133390502396732,0.179024584576711,0.252676427957713,0.44044954063475,0.585193292513551,0.626838178242714,0.523952985523459,0.331651534291388,0.475200095088179,0.482028491805507
"97",0.180410230519015,0.657003805347581,0.67015554042622,0.289312746482519,0.00315210907112303,0.631681211407939,0.370951524349904,0.00316344631790724,0.135723208449826,0.00165304306710419,0.0496523507677334,0.00185650465796245,0.303245037240006,0.137981308834662,0.820183287201389,0.17382786336134,0.605393966404618,0.023261277432771,0.0650170950505776,0.777501493062744,0.716265333801596,0.682793152512311,0.233543309168978,0.307770252815395,0.24847077137726,0.75152922862274,0.432700887118962,0.626224093616122,1,0.248931754023516,0.301685547838892,0.379357154701829,0.174474231166423,0.658863960737062,0.658863960737062,0.793515495491343,0.176373060460931,0.45179934359637,0.559048777718029,0.419022266347229,0.796557233206361,0.511919187708138,0.317439182860046,0.00812795254862449,0.74973162526686,0.000848043164121585,0.00712913289079356,0.0209005695037361,0.14477876396535,0.330565084883044,0.637294836816963,0.847300074519344,0.545500952892769,0.476113739918103,0.703131938150049,0.331573476142184
"98",0.15531716407808,0.684134529331851,0.637282411082988,0.480892959611701,0.0437541670147448,0.770868810007463,0.221949960929879,0.00209507948504569,0.0687930898963939,0.00201340903651717,0.00938423714423094,0.0636583910515228,0.151495437307249,0.193343044834825,0.870018043167787,0.225905320528982,0.555272131332651,0.11161928681901,0.33143260251626,0.22236259407046,0.568537851158146,0.68194017862806,0.195776370249031,0.300751148616143,0.561179399503714,0.438820600496286,0.52227661137056,0.546785855534284,0.898662911278181,0.24133349331617,0.300470386099619,0.409238463290513,0.178297914144637,0.873665453926115,0.873665453926115,0.544774558447796,0.21362049728155,0.428556489251581,0.593319923354415,0.475455109129624,0.768456469988202,0.619697393804412,0.200185049268721,0.00325971990628553,0.726944166843499,0.00257239842299438,0.0667261709414124,0.0640590243693329,0.236195941791351,0.49129335958078,0.565503727719183,0.774358660982702,0.430758630496831,0.374423055659054,0.560606120453782,0.28909959735117
"99",0.133712380535786,0.449998614812145,0.469049480435902,1,0.00665740564339753,0.647782268455962,0.361563405703392,0.00241621095484082,0.0174064928225369,0.000976439162431424,0.0161843763664061,0.000389432703148282,0.100065211132188,0.289510823539724,0.734679556515385,0.251803056880798,0.521355616100451,0.350681334534492,0.461454928816658,0.143244235477973,0.223434598225832,0.139312673102274,0.0239313625843514,0.0933686335389508,0.923730475113624,0.0762695248863755,0.627741296076887,0.518695169774746,0.860545322615506,0.150246472290605,0.0678721133758368,0.10444489119408,0.0322581327423445,0.630200864697685,0.630200864697685,0.00547008503579673,0,0.0405026551898875,0.683099755862516,0.277539572918907,0.590899381528069,0.708756855823874,0.00357922089166038,0.113552164233754,0.867447234037237,0,0.0485269210995023,0.153217932816873,0.610192477182084,0.894290293949172,0.416590147497551,0.236518037311083,0.125596266815308,0.131233716492622,0.221255560478716,0.143238463593684
"100",0.168058797613235,0.00299422029305238,0.245596453997429,0.412374067996513,0.0830414271038029,0.284323349774516,0.729087278843548,0.00667312686905062,0.0218604978457159,0.000524258855984031,0.00359674005144383,0.0142289586365926,0.110284779113768,0.346628084370994,0.464827246380686,0.401023841865292,0.570583137608153,0.160746083501589,0.452919247104564,0.614377977309285,0.286127831846899,0.286722586361514,0.042459137607756,0.264221828175033,0.890733918849121,0.109266081150879,0.47084145406258,0.181793503640575,0.509125076660251,0.0806650744841467,0.0173915422693167,0.0586679228211744,0.0725782448725709,0.646998553467313,0.646998553467313,0.169220369947189,0.0226778853712342,0.078663233866235,0.867823899426451,0.188380596362497,0.318531835611942,0.991628600960343,0.0174880148676736,0.156025651383681,0.965017515615973,0.00121942190226529,0.0727622321311026,0.151519079864966,0.584131093345939,0.957817431773796,0.398971489980273,0.378842321207858,0.0662405549530602,0.0786017290138513,0.148504825516903,0.121081863051853
"101",0.173454933404869,0.447817919702778,0.537338833621825,0.59314566672239,0.0286343898505012,0.621189328337759,0.378923609689018,0.0141221576547112,0.0182052363357428,0.000587335448470004,0.00094745760170343,0.0234080081875548,0.0355032084568286,0.089858797687594,0.751374470930575,0.0959355616878317,0.668358023918186,0.148471936098464,0.338921025995005,0.390635633897424,0.358925352661984,0.417489049132814,0.0721557805069756,0.164052042809488,0.678463527357495,0.321536472642505,0.471780156291077,0.522868520747171,0.830345227851286,0.175253410775232,0.173253721725178,0.192082314687285,0.0856809364095772,0.81049756428446,0.81049756428446,0.196097041055844,0.0424867395002433,0.226795567688442,0.655641596836481,0.355764006538834,0.876288879432294,0.773661354472171,0.0426496536495792,0.00280549300189022,0.969939149760038,0.000268985810797126,0.0198723275897307,0.117027357140619,0.398876216698907,0.703008304972882,0.475921468937423,0.579980302578685,0.269981201308252,0.255439610299569,0.396810866953445,0.200929475510248
"102",0.132442988718533,0.330522843749971,0.155680821274854,0.380863262565516,0.194839329955952,0.744447902572368,0.107518338895129,0.0058427238482067,0.0258381485871953,0.000399819007877239,0.0256633693662203,0.75557677642409,0.215805592300348,0.520113770108132,0.493763280205713,0.791419774049363,0.43238017579605,0.241340606158849,0.574562025524197,0.352204084576986,0.291139436256342,0.204084157667342,0.032785534780247,0.126483382976596,0.893348234741433,0.106651765258567,0.369709459691704,0.245979167521973,0.705647724241574,0.0924032441152956,0.0556880049802848,0.0889266011705237,0.0429382719946683,0.824674081213411,0.824674081213411,0.108648093617034,0.095808762395702,0.0638370343889125,0.612996484503234,0.045004443182422,0.0092712526498862,0.718919723193158,0.0358948466038226,0.458984647347449,0.620011182659153,0.0260340370460852,0.738547747463145,0.0270087527951014,0.486225539372597,0.896463564420988,0.415899548461887,0.57156811860561,0.106592245115224,0.122455492179116,0.211895443095665,0.126607631939574
